municipality,group,variable,month,Mujeres de 15 a 49 años 5ta dosis de dT,TOTAL
ACHACACHI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,1,1
ACHOCALLA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,3,3
AIQUILE,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,4,4
ANZALDO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,2,2
APOLO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,2,2
ARAMPAMPA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,5,5
ARANI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,6,6
ARQUE,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,6,6
ATOCHA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,3,3
AYATA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,2,2
AYO AYO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,13,13
AZURDUY,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,1,1
BELLA FLOR,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,4,4
BERMEJO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,2,2
BUENA VISTA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,51,51
CABEZAS,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,3,3
"CAIZA ""D""",otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,2,2
CAMIRI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,3,3
CARANAVI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,9,9
CARAPARI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,3,3
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,5,5
CHALLAPATA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,1,1
CHARAGUA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,3,3
CHAYANTA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,2,2
CHIMORE,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,4,4
CHIPAYA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,2,2
CHUMA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,1,1
CLIZA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,1,1
COBIJA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,50,50
COCHABAMBA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,146,146
COLCAPIRHUA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,17,17
"COLCHA ""K""",otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,1,1
COLOMI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,8,8
COLQUECHACA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,2,2
COLQUENCHA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,2,2
COLQUIRI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,4,4
CONCEPCION,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,2,2
COPACABANA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,1,1
CORIPATA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,3,3
COROICO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,3,3
COTAGAITA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,7,7
COTOCA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,11,11
CUATRO CAÑADAS,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,7,7
CUEVO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,2,2
CULPINA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,6,6
EL ALTO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,119,119
EL PUENTE(TJA),otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,1,1
EL TORNO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,11,11
ENTRE RIOS,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,1,1
ENTRE RIOS,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,10,10
EXALTACION,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,2,2
FERNANDEZ ALONSO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,8,8
FILADELFIA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,1,1
GENERAL SAAVEDRA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,19,19
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,1,1
GUANAY,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,12,12
GUAQUI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,1,1
GUAYARAMERIN,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,3,3
GUTIERREZ,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,5,5
HUACARETA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,3,3
HUAYLLAMARCA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,3,3
ICLA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,1,1
INCAHUASI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,1,1
INQUISIVI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,3,3
IXIAMAS,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,2,2
LA ASUNTA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,3,3
LA GUARDIA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,13,13
LA PAZ,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,242,242
LAGUNILLAS,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,2,2
LAJA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,4,4
LICOMA PAMPA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,1,1
MACHARETI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,6,6
MAGDALENA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,5,5
MAIRANA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,1,1
MAPIRI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,3,3
MINEROS,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,3,3
MOCOMOCO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,1,1
MONTERO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,46,46
MOROCHATA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,11,11
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,1,1
OCURI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,8,8
OKINAWA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,4,4
OMEREQUE,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,7,7
ORURO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,45,45
PADILLA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,4,4
PAILON,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,9,9
PALCA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,3,3
PALOS BLANCOS,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,15,15
PAMPA GRANDE,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,1,1
PATACAMAYA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,2,2
PELECHUCO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,6,6
POCOATA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,3,3
POJO (CBBA),otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,1,1
POROMA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,3,3
PORONGO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,13,13
PORTACHUELO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,6,6
POSTRER VALLE,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,4,4
POTOSI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,10,10
PUCARA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,1,1
PUCARANI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,2,2
PUERTO GONZALO MORENO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,1,1
PUERTO QUIJARRO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,4,4
PUERTO RICO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,2,2
PUERTO SUAREZ,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2006-01-01,4,4
