municipality,group,variable,month,Mujeres de 15 a 49 años 2da dosis de dT,TOTAL
ACACIO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,3,3
ACHACACHI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,23,23
ACHOCALLA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,14,14
AIQUILE,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,18,18
ALALAY,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,6,6
ALCALA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,4,4
ANCORAIMES,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,7,7
ANTEQUERA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,3,3
ANZALDO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,5,5
APOLO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,22,22
ARAMPAMPA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,5,5
ARANI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,23,23
ARBIETO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,8,8
ARQUE,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,6,6
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,35,35
ATOCHA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,12,12
AUCAPATA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,2,2
AYATA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,4,4
AYO AYO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,25,25
AZURDUY,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,18,18
BATALLAS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,16,16
BAURES,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,6,6
BELEN DE ANDAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,1,1
BELEN DE URMIRI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,5,5
BELLA FLOR,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,10,10
BERMEJO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,31,31
BETANZOS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,6,6
BOLIVAR,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,6,6
BOYUIBE,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,6,6
BUENA VISTA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,48,48
CABEZAS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,20,20
CAIROMA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,12,12
"CAIZA ""D""",otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,2,2
CAJUATA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,3,3
CALACOTO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,6,6
CALAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,9,9
CAMARGO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,8,8
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,2,2
CAMIRI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,21,21
CAPINOTA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,21,21
CARACOLLO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,17,17
CARANAVI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,75,75
CARAPARI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,14,14
CARIPUYO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,2,2
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,11,11
CHALLAPATA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,23,23
CHAQUI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,3,3
CHARAGUA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,17,17
CHARAÑA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,2,2
CHAYANTA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,1,1
CHIMORE,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,41,41
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,4,4
CHUMA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,4,4
CLIZA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,25,25
COBIJA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,99,99
COCHABAMBA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,842,842
COLCAPIRHUA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,71,71
"COLCHA ""K""",otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,5,5
COLLANA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,6,6
COLOMI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,39,39
COLPA BELGICA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,9,9
COLQUECHACA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,43,43
COLQUENCHA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,1,1
COLQUIRI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,35,35
COMARAPA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,31,31
CONCEPCION,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,68,68
COPACABANA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,11,11
CORIPATA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,9,9
CORO CORO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,7,7
COROICO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,24,24
COTAGAITA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,22,22
COTOCA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,60,60
CUATRO CAÑADAS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,40,40
CUEVO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,2,2
CULPINA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,35,35
CURAHUARA DE CARANGAS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,1,1
CURVA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,3,3
DESAGUADERO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,2,2
EL ALTO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,1032,1032
EL CHORO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,8,8
EL PUENTE(STC),otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,2,2
EL PUENTE(TJA),otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,11,11
EL TORNO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,130,130
EL VILLAR,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,3,3
ENTRE RIOS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,21,21
ENTRE RIOS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,65,65
EUCALIPTUS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,2,2
EUREKA (SANTOS MERCADO),otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,3,3
EXALTACION,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,6,6
FERNANDEZ ALONSO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2006-01-01,33,33
