municipality,group,variable,month,Antirrábica canina,TOTAL
AIQUILE,otras vacunaciones,antirrabica canina,2006-01-01,8,8
ALCALA,otras vacunaciones,antirrabica canina,2006-01-01,52,52
ANDAMARCA,otras vacunaciones,antirrabica canina,2006-01-01,6,6
ANTEQUERA,otras vacunaciones,antirrabica canina,2006-01-01,5,5
ANZALDO,otras vacunaciones,antirrabica canina,2006-01-01,4,4
ARANI,otras vacunaciones,antirrabica canina,2006-01-01,46,46
ARQUE,otras vacunaciones,antirrabica canina,2006-01-01,24,24
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica canina,2006-01-01,3098,3098
AYO AYO,otras vacunaciones,antirrabica canina,2006-01-01,168,168
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antirrabica canina,2006-01-01,49,49
BATALLAS,otras vacunaciones,antirrabica canina,2006-01-01,20,20
BELEN DE ANDAMARCA,otras vacunaciones,antirrabica canina,2006-01-01,6,6
BELEN DE URMIRI,otras vacunaciones,antirrabica canina,2006-01-01,2,2
BETANZOS,otras vacunaciones,antirrabica canina,2006-01-01,60,60
BOLIVAR,otras vacunaciones,antirrabica canina,2006-01-01,16,16
BUENA VISTA,otras vacunaciones,antirrabica canina,2006-01-01,2,2
CABEZAS,otras vacunaciones,antirrabica canina,2006-01-01,583,583
CAJUATA,otras vacunaciones,antirrabica canina,2006-01-01,94,94
CALAMARCA,otras vacunaciones,antirrabica canina,2006-01-01,66,66
CAMARGO,otras vacunaciones,antirrabica canina,2006-01-01,25,25
CAPINOTA,otras vacunaciones,antirrabica canina,2006-01-01,93,93
CAQUIAVIRI,otras vacunaciones,antirrabica canina,2006-01-01,50,50
CARACOLLO,otras vacunaciones,antirrabica canina,2006-01-01,5,5
CARANAVI,otras vacunaciones,antirrabica canina,2006-01-01,75,75
CARAPARI,otras vacunaciones,antirrabica canina,2006-01-01,774,774
CARMEN RIVERO TORREZ,otras vacunaciones,antirrabica canina,2006-01-01,76,76
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antirrabica canina,2006-01-01,92,92
CLIZA,otras vacunaciones,antirrabica canina,2006-01-01,156,156
COBIJA,otras vacunaciones,antirrabica canina,2006-01-01,272,272
COCHABAMBA,otras vacunaciones,antirrabica canina,2006-01-01,2162,2162
COLCAPIRHUA,otras vacunaciones,antirrabica canina,2006-01-01,171,171
"COLCHA ""K""",otras vacunaciones,antirrabica canina,2006-01-01,20,20
COLQUIRI,otras vacunaciones,antirrabica canina,2006-01-01,144,144
COMARAPA,otras vacunaciones,antirrabica canina,2006-01-01,46,46
CONCEPCION,otras vacunaciones,antirrabica canina,2006-01-01,123,123
CORO CORO,otras vacunaciones,antirrabica canina,2006-01-01,20,20
COROICO,otras vacunaciones,antirrabica canina,2006-01-01,10,10
COTOCA,otras vacunaciones,antirrabica canina,2006-01-01,179,179
CUATRO CAÑADAS,otras vacunaciones,antirrabica canina,2006-01-01,120,120
CUEVO,otras vacunaciones,antirrabica canina,2006-01-01,96,96
CURAHUARA DE CARANGAS,otras vacunaciones,antirrabica canina,2006-01-01,38,38
EL ALTO,otras vacunaciones,antirrabica canina,2006-01-01,1287,1287
EL CHORO,otras vacunaciones,antirrabica canina,2006-01-01,87,87
EL PUENTE(STC),otras vacunaciones,antirrabica canina,2006-01-01,23,23
ENTRE RIOS,otras vacunaciones,antirrabica canina,2006-01-01,14,14
GENERAL SAAVEDRA,otras vacunaciones,antirrabica canina,2006-01-01,10,10
GUTIERREZ,otras vacunaciones,antirrabica canina,2006-01-01,133,133
HUACARETA,otras vacunaciones,antirrabica canina,2006-01-01,706,706
HUACHACALLA,otras vacunaciones,antirrabica canina,2006-01-01,3,3
HUANUNI,otras vacunaciones,antirrabica canina,2006-01-01,50,50
ICHOCA,otras vacunaciones,antirrabica canina,2006-01-01,131,131
JESUS DE MACHACA,otras vacunaciones,antirrabica canina,2006-01-01,4,4
LA ASUNTA,otras vacunaciones,antirrabica canina,2006-01-01,50,50
LA PAZ,otras vacunaciones,antirrabica canina,2006-01-01,1607,1607
LAGUNILLAS,otras vacunaciones,antirrabica canina,2006-01-01,112,112
LAJA,otras vacunaciones,antirrabica canina,2006-01-01,53,53
LLICA,otras vacunaciones,antirrabica canina,2006-01-01,34,34
MACHARETI,otras vacunaciones,antirrabica canina,2006-01-01,550,550
MAPIRI,otras vacunaciones,antirrabica canina,2006-01-01,42,42
MINEROS,otras vacunaciones,antirrabica canina,2006-01-01,60,60
MIZQUE,otras vacunaciones,antirrabica canina,2006-01-01,314,314
MOCOMOCO,otras vacunaciones,antirrabica canina,2006-01-01,20,20
MOJOCOYA,otras vacunaciones,antirrabica canina,2006-01-01,146,146
MONTERO,otras vacunaciones,antirrabica canina,2006-01-01,93,93
MORO MORO,otras vacunaciones,antirrabica canina,2006-01-01,30,30
MOROCHATA,otras vacunaciones,antirrabica canina,2006-01-01,243,243
OCURI,otras vacunaciones,antirrabica canina,2006-01-01,46,46
OKINAWA,otras vacunaciones,antirrabica canina,2006-01-01,12,12
OMEREQUE,otras vacunaciones,antirrabica canina,2006-01-01,75,75
ORURO,otras vacunaciones,antirrabica canina,2006-01-01,47,47
PAILON,otras vacunaciones,antirrabica canina,2006-01-01,500,500
PAPEL PAMPA,otras vacunaciones,antirrabica canina,2006-01-01,10,10
PASORAPA,otras vacunaciones,antirrabica canina,2006-01-01,15,15
POCONA,otras vacunaciones,antirrabica canina,2006-01-01,139,139
POJO (CBBA),otras vacunaciones,antirrabica canina,2006-01-01,8,8
POOPO,otras vacunaciones,antirrabica canina,2006-01-01,208,208
POROMA,otras vacunaciones,antirrabica canina,2006-01-01,22,22
PORONGO,otras vacunaciones,antirrabica canina,2006-01-01,118,118
PORTACHUELO,otras vacunaciones,antirrabica canina,2006-01-01,17,17
PUCARA,otras vacunaciones,antirrabica canina,2006-01-01,176,176
PUCARANI,otras vacunaciones,antirrabica canina,2006-01-01,237,237
PUERTO CARABUCO,otras vacunaciones,antirrabica canina,2006-01-01,7,7
PUERTO QUIJARRO,otras vacunaciones,antirrabica canina,2006-01-01,435,435
PUERTO VILLARROEL,otras vacunaciones,antirrabica canina,2006-01-01,8,8
PUNA,otras vacunaciones,antirrabica canina,2006-01-01,17,17
PUNATA,otras vacunaciones,antirrabica canina,2006-01-01,46,46
QUILLACOLLO,otras vacunaciones,antirrabica canina,2006-01-01,1853,1853
RAVELO,otras vacunaciones,antirrabica canina,2006-01-01,33,33
SABAYA,otras vacunaciones,antirrabica canina,2006-01-01,2,2
SACABA,otras vacunaciones,antirrabica canina,2006-01-01,28,28
SACABAMBA,otras vacunaciones,antirrabica canina,2006-01-01,6,6
SAN ANDRES DE MACHACA,otras vacunaciones,antirrabica canina,2006-01-01,10,10
SAN BENITO,otras vacunaciones,antirrabica canina,2006-01-01,17,17
SAN BORJA,otras vacunaciones,antirrabica canina,2006-01-01,121,121
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica canina,2006-01-01,45,45
SAN JULIAN,otras vacunaciones,antirrabica canina,2006-01-01,14,14
SAN LUCAS,otras vacunaciones,antirrabica canina,2006-01-01,18,18
