municipality,group,variable,month,Mujeres de 15 a 49 años 1ra dosis de dT,TOTAL
ACACIO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,13,13
ACHACACHI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,53,53
ACHOCALLA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,23,23
AIQUILE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,153,153
ALALAY,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,1,1
ALCALA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,9,9
ANCORAIMES,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,10,10
ANTEQUERA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,4,4
ANZALDO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,4,4
APOLO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,20,20
ARAMPAMPA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,13,13
ARANI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,48,48
ARBIETO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,3,3
ARQUE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,11,11
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,81,81
ATOCHA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,34,34
AUCAPATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,3,3
AYATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,9,9
AYO AYO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,113,113
AZURDUY,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,52,52
BATALLAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,22,22
BAURES,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,2,2
BELEN DE ANDAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,1,1
BELEN DE URMIRI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,13,13
BELLA FLOR,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,10,10
BERMEJO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,78,78
BETANZOS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,33,33
BOLIVAR,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,21,21
BOYUIBE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,3,3
BUENA VISTA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,45,45
CABEZAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,16,16
CAIROMA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,24,24
"CAIZA ""D""",otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,5,5
CAJUATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,12,12
CALACOTO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,7,7
CALAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,57,57
CAMARGO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,40,40
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,10,10
CAMIRI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,73,73
CAPINOTA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,29,29
CARACOLLO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,40,40
CARANAVI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,122,122
CARAPARI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,20,20
CARIPUYO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,39,39
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,24,24
CHALLAPATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,56,56
CHAQUI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,11,11
CHARAGUA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,21,21
CHARAÑA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,2,2
CHAYANTA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,6,6
CHIMORE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,78,78
CHIPAYA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,6,6
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,8,8
CHUMA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,24,24
CLIZA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,64,64
COBIJA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,175,175
COCHABAMBA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,1947,1947
COLCAPIRHUA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,71,71
"COLCHA ""K""",otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,4,4
COLLANA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,12,12
COLOMI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,121,121
COLPA BELGICA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,18,18
COLQUECHACA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,127,127
COLQUENCHA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,6,6
COLQUIRI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,51,51
COMARAPA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,39,39
CONCEPCION,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,101,101
COPACABANA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,30,30
CORIPATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,14,14
CORO CORO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,3,3
COROICO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,44,44
CORQUE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,6,6
COTAGAITA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,17,17
COTOCA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,110,110
CUATRO CAÑADAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,32,32
CUEVO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,4,4
CULPINA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,61,61
CURAHUARA DE CARANGAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,12,12
CURVA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,5,5
DESAGUADERO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,17,17
EL ALTO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,2186,2186
EL CHORO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,2,2
EL PUENTE(STC),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,3,3
EL PUENTE(TJA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,20,20
EL TORNO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,108,108
EL VILLAR,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,4,4
ENTRE RIOS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,19,19
ENTRE RIOS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,119,119
EUCALIPTUS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,9,9
EUREKA (SANTOS MERCADO),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,7,7
EXALTACION,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,2,2
FERNANDEZ ALONSO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,30,30
FILADELFIA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,16,16
GENERAL SAAVEDRA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,41,41
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,13,13
GUANAY,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,88,88
GUAQUI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,26,26
GUAYARAMERIN,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,164,164
GUTIERREZ,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,9,9
HUACARETA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,29,29
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,6,6
HUANUNI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,67,67
HUAYLLAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,9,9
ICLA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,22,22
INCAHUASI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,58,58
INQUISIVI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,57,57
IRUPANA (VILLA DE LANZA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,43,43
IXIAMAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,6,6
JESUS DE MACHACA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,27,27
LA ASUNTA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,47,47
LA GUARDIA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,74,74
LA PAZ,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,1885,1885
LAGUNILLAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,8,8
LAJA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,17,17
LAS CARRERAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,12,12
LICOMA PAMPA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,28,28
LLALLAGUA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,74,74
LLICA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,2,2
LORETO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,8,8
LURIBAY,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,9,9
MACHACAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,2,2
MACHARETI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,2,2
MAGDALENA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,29,29
MAIRANA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,5,5
MAPIRI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,41,41
MECAPACA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,9,9
MINEROS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,41,41
MIZQUE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,86,86
MOCOMOCO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,49,49
MOJOCOYA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,28,28
MONTEAGUDO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,10,10
MONTERO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,280,280
MORO MORO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,4,4
MOROCHATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,107,107
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,3,3
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,15,15
OCURI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,69,69
OKINAWA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,37,37
OMEREQUE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,15,15
ORURO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,529,529
PADCAYA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,13,13
PADILLA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,16,16
PAILON,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,29,29
PALCA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,6,6
PALOS BLANCOS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,44,44
PAMPA GRANDE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,31,31
PAPEL PAMPA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,2,2
PATACAMAYA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,28,28
PAZÑA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,2,2
PELECHUCO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,8,8
POCOATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,30,30
POCONA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,7,7
POJO (CBBA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,6,6
POOPO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,108,108
PORCO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,12,12
POROMA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,96,96
PORONGO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,26,26
PORTACHUELO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,30,30
PORVENIR,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,10,10
POTOSI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,343,343
PRESTO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,27,27
PUCARA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,3,3
PUCARANI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,22,22
PUERTO ACOSTA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,15,15
PUERTO CARABUCO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,12,12
PUERTO GONZALO MORENO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,2,2
PUERTO PEREZ,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,7,7
PUERTO QUIJARRO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,124,124
PUERTO RICO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,8,8
PUERTO SUAREZ,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,40,40
PUERTO VILLARROEL,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,105,105
PUNA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,47,47
PUNATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,68,68
QUILLACOLLO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,282,282
QUIME,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,20,20
QUIRUSILLAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,1,1
RAVELO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,23,23
REYES,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,15,15
RIBERALTA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,251,251
ROBORE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,21,21
RURRENABAQUE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,32,32
SABAYA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,1,1
SACABA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,585,585
SACABAMBA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,10,10
SACACA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,23,23
SAIPINA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,16,16
SALINAS DE GARCI MENDOZA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,11,11
SAMAIPATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,12,12
