municipality,group,variable,month,Antirrábica humana esquema completo,TOTAL
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,1,1
AYO AYO,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,5,5
AZURDUY,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,1,1
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,5,5
CAPINOTA,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,1,1
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,1,1
CLIZA,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,1,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,30,30
COLOMI,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,2,2
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,15,15
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,10,10
EL PUENTE(STC),otras vacunaciones,antirrabica humana esquema completo,2006-01-01,19,19
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,3,3
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,91,91
MIZQUE,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,7,7
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,6,6
ORURO,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,24,24
PORTACHUELO,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,1,1
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,12,12
SACABA,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,3,3
SAN BENITO,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,1,1
SAN MATIAS,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,1,1
SAN PEDRO,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,1,1
SAN PEDRO DE BUENA VISTA,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,356,356
SORATA,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,1,1
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,18,18
TACOPAYA,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,2,2
