municipality,group,variable,month,Vacunaciones antiamarílica en personas a part,TOTAL
ACACIO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,5,5
ACHACACHI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,75,75
ACHOCALLA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,30,30
AIQUILE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,57,57
ALCALA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,12,12
ANCORAIMES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,9,9
ANZALDO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,4,4
APOLO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,6,6
ARANI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,108,108
ARBIETO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,34,34
ASCENCION DE GUARAYOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,40,40
ATOCHA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,79,79
AYATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,23,23
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,147,147
AZURDUY,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,7,7
BATALLAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,12,12
BAURES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,2,2
BELEN DE ANDAMARCA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,10,10
BELLA FLOR,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,17,17
BERMEJO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,32,32
BETANZOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,11,11
BOLIVAR,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,27,27
BOYUIBE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,1,1
BUENA VISTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,239,239
CABEZAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,8,8
CAIROMA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,20,20
CAJUATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,43,43
CALACOTO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,9,9
CALAMARCA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,37,37
CAMARGO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,77,77
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,3,3
CAMIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,19,19
CAPINOTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,15,15
CARACOLLO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,9,9
CARANAVI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,693,693
CARAPARI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,7,7
CARIPUYO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,15,15
CARMEN RIVERO TORREZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,13,13
CHALLAPATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,1,1
CHARAGUA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,5,5
CHAYANTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,8,8
CHIMORE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,1567,1567
