,group,variable,month,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,0,4,0,4,4
AIQUILE,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,2,4,2,4,6
ANZALDO,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,2,1,2,1,3
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,3,22,3,22,25
ATOCHA,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,0,5,0,5,5
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,0,1,0,1,1
AZURDUY,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,0,4,0,4,4
BERMEJO,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,1,2,1,2,3
CAMARGO,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,3,11,3,11,14
CAMIRI,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,18,66,18,66,84
CARANAVI,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,9,32,9,32,41
CARAPARI,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,1,2,1,2,3
CHARAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,3,24,3,24,27
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,3,11,3,11,14
CLIZA,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,0,18,0,18,18
COBIJA,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,29,109,29,109,138
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,175,589,175,589,764
COLCAPIRHUA,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,2,4,2,4,6
COMARAPA,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,1,2,1,2,3
CULPINA,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,3,2,3,2,5
EL ALTO,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,119,647,119,647,766
EL TORNO,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,2,11,2,11,13
ENTRE RIOS TRJ,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,1,2,1,2,3
FERNANDEZ ALONSO,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,1,0,1,0,1
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,0,6,0,6,6
GUTIERREZ,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,0,5,0,5,5
HUACARETA,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,0,2,0,2,2
HUANUNI,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,0,1,0,1,1
LA GUARDIA,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,1,1,1,1,2
LA PAZ,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,731,968,731,968,1699
LLALLAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,6,13,6,13,19
MACHARETI,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,0,2,0,2,2
MAGDALENA,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,2,6,2,6,8
MIZQUE,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,3,10,3,10,13
MONTEAGUDO,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,13,18,13,18,31
MONTERO,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,96,204,96,204,300
OCURI,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,0,2,0,2,2
ORURO,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,42,178,42,178,220
PADILLA,internaciones,ingresos referidos de otros establecimientos de salud,2018-01-01,12,33,12,33,45
