,group,variable,month,ANTIROTAVIRICA 1RA. DOSIS,ANTIROTAVIRICA 1RA. DOSIS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,1,6,7
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,61,16,77
ACHOCALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,12,12,24
AIQUILE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,28,12,40
ALALAY,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,1,4,5
ALCALA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,4,1,5
ALTO BENI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,23,0,23
ANCORAIMES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,11,2,13
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,1,4,5
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,4,1,5
ANZALDO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,7,9,16
APOLO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,28,12,40
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,1,8,9
ARANI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,28,2,30
ARBIETO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,16,15,31
ARQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,14,3,17
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,57,1,58
ATOCHA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,18,6,24
AUCAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,4,9,13
AYATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,8,12,20
AYO AYO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,12,0,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,38,16,54
AZURDUY,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,6,9,15
BATALLAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,15,8,23
BAURES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,7,0,7
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,1,3,4
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,1,2,3
BERMEJO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,57,14,71
BETANZOS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,30,22,52
BOLIVAR,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,4,10,14
BOLPEBRA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,5,0,5
BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,31,6,37
CABEZAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,21,2,23
CAIROMA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,8,10,18
"CAIZA ""D""",vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,6,0,6
CAJUATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,10,1,11
CALACOTO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,1,7,8
CALAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,16,10,26
CAMARGO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,26,4,30
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,4,1,5
CAMIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,58,6,64
CAPINOTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,34,5,39
CAQUIAVIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,7,0,7
CARACOLLO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,23,7,30
CARANAVI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,66,12,78
CARAPARI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,7,2,9
CARIPUYO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,5,15,20
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,7,3,10
CATACORA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,0,1,1
CHALLAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,51,18,69
CHAQUI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,8,8,16
CHARAGUA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,35,26,61
CHARAÑA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,2,0,2
CHAYANTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,21,10,31
CHIMORE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,45,9,54
CHIPAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,1,0,1
CHOQUE COTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,1,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,31,7,38
CHUMA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,16,18,34
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,15,4,19
CKOCHAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,17,5,22
CLIZA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,38,8,46
COBIJA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,114,12,126
COCAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,0,6,6
COCHABAMBA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,1354,9,1363
COLCAPIRHUA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,97,0,97
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,19,0,19
COLLANA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,1,0,1
COLOMI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,33,5,38
COLPA BELGICA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,6,1,7
COLQUECHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,27,42,69
COLQUENCHA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,6,0,6
COLQUIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,13,34,47
COMANCHE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,3,3,6
COMARAPA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,21,5,26
COMBAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,0,3,3
CONCEPCION,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,29,9,38
COPACABANA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,13,6,19
CORIPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,15,6,21
CORO CORO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,4,5,9
COROICO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,24,5,29
CORQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,5,4,9
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,30,21,51
COTOCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,138,19,157
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,20,13,33
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,2,1,3
CUEVO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,5,5,10
CULPINA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,24,10,34
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,7,1,8
CURVA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,2,4,6
