,group,variable,month,PENTAVALENTE 3RA. DOSIS,PENTAVALENTE 3RA. DOSIS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,4,5,9
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,31,11,42
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,10,10,20
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,26,17,43
ALALAY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,2,4,6
ALCALA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,7,0,7
ALTO BENI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,24,1,25
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,7,4,11
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,2,0,2
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,7,0,7
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,2,16,18
APOLO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,20,17,37
ARAMPAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,1,4,5
ARANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,20,2,22
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,6,18,24
ARQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,19,4,23
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,52,4,56
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,16,3,19
AUCAPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,4,2,6
AYATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,7,4,11
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,14,3,17
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,29,19,48
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,11,8,19
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,21,5,26
BAURES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,5,0,5
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,1,2,3
BELEN DE URMIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,0,3,3
BELLA FLOR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,2,0,2
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,52,6,58
BETANZOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,33,20,53
BOLIVAR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,5,4,9
BOLPEBRA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,0,2,2
BOYUIBE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,7,2,9
BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,16,8,24
CABEZAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,25,5,30
CAIROMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,6,5,11
"CAIZA ""D""",vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,7,5,12
CAJUATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,9,3,12
CALACOTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,2,1,3
CALAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,11,4,15
CAMARGO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,19,9,28
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,3,2,5
CAMIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,78,6,84
CAPINOTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,33,4,37
CAQUIAVIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,3,3,6
CARACOLLO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,21,9,30
CARANAVI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,70,16,86
CARAPARI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,13,2,15
CARIPUYO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,2,10,12
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,9,2,11
CATACORA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,1,1,2
CHACARILLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,41,15,56
CHAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,7,3,10
CHARAGUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,28,17,45
CHARAÑA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,1,0,1
CHAYANTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,8,7,15
CHIMORE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,41,3,44
CHIPAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,2,0,2
CHUA COCANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,3,2,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,26,9,35
CHUMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,4,4,8
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,6,2,8
CKOCHAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,8,6,14
CLIZA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,24,11,35
COBIJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,106,21,127
COCAPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,12,17,29
COCHABAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,1325,20,1345
COLCAPIRHUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,119,2,121
"COLCHA ""K""",vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,14,0,14
COLLANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,2,1,3
COLOMI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,42,4,46
COLPA BELGICA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,12,7,19
COLQUECHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,20,39,59
COLQUENCHA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,10,0,10
COLQUIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,9,37,46
COMANCHE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,0,1,1
COMARAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,26,11,37
COMBAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,0,1,1
CONCEPCION,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,31,5,36
COPACABANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,12,6,18
CORIPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,23,5,28
CORO CORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,5,10,15
COROICO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,11,6,17
CORQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,4,2,6
COTAGAITA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,26,17,43
COTOCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,132,17,149
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,19,6,25
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,2,2,4
CUEVO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,1,0,1
CULPINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,17,11,28
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,7,3,10
CURVA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,0,4,4
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,8,0,8
