,group,variable,month,PENTAVALENTE 1RA. DOSIS,PENTAVALENTE 1RA. DOSIS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,1,7,8
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,68,16,84
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,12,14,26
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,32,13,45
ALALAY,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,1,4,5
ALCALA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,4,1,5
ALTO BENI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,23,0,23
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,10,3,13
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,1,4,5
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,4,1,5
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,7,9,16
APOLO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,36,12,48
ARAMPAMPA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,1,8,9
ARANI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,28,2,30
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,16,15,31
ARQUE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,14,3,17
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,56,1,57
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,16,6,22
AUCAPATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,4,9,13
AYATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,8,12,20
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,13,1,14
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,38,15,53
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,6,9,15
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,15,9,24
BAURES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,7,0,7
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,1,3,4
BELEN DE URMIRI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,1,2,3
BELLA FLOR,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,1,1,2
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,58,16,74
BETANZOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,30,23,53
BOLIVAR,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,4,10,14
BOLPEBRA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,0,2,2
BOYUIBE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,5,0,5
BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,30,6,36
CABEZAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,21,2,23
CAIROMA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,8,9,17
"CAIZA ""D""",vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,15,0,15
CAJUATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,8,3,11
CALACOTO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,1,7,8
CALAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,16,10,26
CAMARGO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,27,4,31
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,4,1,5
CAMIRI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,58,6,64
CAPINOTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,34,5,39
CAQUIAVIRI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,8,0,8
CARACOLLO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,25,10,35
CARANAVI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,66,12,78
CARAPARI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,6,2,8
CARIPUYO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,5,15,20
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,6,3,9
CATACORA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,0,1,1
CHALLAPATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,58,18,76
CHAQUI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,8,8,16
CHARAGUA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,40,30,70
CHARAÑA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,2,0,2
CHAYANTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,21,10,31
CHIMORE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,47,9,56
CHIPAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,2,0,2
CHOQUE COTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,1,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,35,7,42
CHUMA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,16,18,34
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,15,4,19
CKOCHAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,18,4,22
CLIZA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,38,8,46
COBIJA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,119,13,132
COCAPATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,5,6,11
COCHABAMBA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,1571,9,1580
COLCAPIRHUA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,100,0,100
"COLCHA ""K""",vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,18,0,18
COLLANA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,1,0,1
COLOMI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,33,6,39
COLPA BELGICA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,7,2,9
COLQUECHACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,29,50,79
COLQUENCHA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,5,0,5
COLQUIRI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,13,34,47
COMANCHE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,3,3,6
COMARAPA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,21,5,26
COMBAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,0,3,3
CONCEPCION,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,29,9,38
COPACABANA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,13,6,19
CORIPATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,18,6,24
CORO CORO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,4,6,10
COROICO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,25,5,30
CORQUE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,5,6,11
COTAGAITA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,29,22,51
COTOCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,152,22,174
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,36,14,50
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,2,1,3
CUEVO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,5,5,10
CULPINA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,24,11,35
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,7,1,8
CURVA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,2,5,7
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,5,0,5
