,group,variable,month,PENTAVALENTE 2DA. DOSIS,PENTAVALENTE 2DA. DOSIS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,4,2,6
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,31,12,43
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,22,2,24
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,31,12,43
ALALAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,0,5,5
ALCALA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,6,4,10
ALTO BENI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,11,3,14
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,13,5,18
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,0,2,2
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,4,0,4
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,5,13,18
APOLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,19,13,32
ARAMPAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,3,5,8
ARANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,20,1,21
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,19,13,32
ARQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,27,5,32
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,55,2,57
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,15,0,15
AUCAPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,3,3,6
AYATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,9,6,15
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,12,2,14
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,24,13,37
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,14,12,26
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,18,6,24
BAURES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,9,0,9
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,0,1,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,0,2,2
BELLA FLOR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,0,3,3
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,49,7,56
BETANZOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,46,17,63
BOLIVAR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,8,1,9
BOLPEBRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1,1,2
BOYUIBE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,7,1,8
BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,19,7,26
CABEZAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,19,2,21
CAIROMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,11,4,15
"CAIZA ""D""",vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,8,8,16
CAJUATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,14,3,17
CALACOTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,6,5,11
CALAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,18,6,24
CAMARGO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,29,7,36
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,4,2,6
CAMIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,63,6,69
CAPINOTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,34,2,36
CAQUIAVIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,6,4,10
CARACOLLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,25,10,35
CARANAVI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,65,12,77
CARANGAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1,0,1
CARAPARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,9,2,11
CARIPUYO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1,17,18
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,5,6,11
CATACORA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1,0,1
CHACARILLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1,1,2
CHALLAPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,48,7,55
CHAQUI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,4,4,8
CHARAGUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,32,18,50
CHARAÑA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1,0,1
CHAYANTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,17,4,21
CHIMORE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,27,7,34
CHIPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,2,0,2
CHOQUE COTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,32,6,38
CHUMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,5,4,9
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,9,2,11
CKOCHAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,13,6,19
CLIZA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,27,7,34
COBIJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,106,17,123
COCAPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,15,14,29
COCHABAMBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1342,15,1357
COLCAPIRHUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,98,1,99
"COLCHA ""K""",vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,17,2,19
COLLANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,6,1,7
COLOMI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,24,6,30
COLPA BELGICA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,12,4,16
COLQUECHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,17,38,55
COLQUENCHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,11,0,11
COLQUIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,23,29,52
COMANCHE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1,4,5
COMARAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,23,8,31
COMBAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1,2,3
CONCEPCION,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,39,10,49
COPACABANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,10,8,18
CORIPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,19,3,22
CORO CORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,8,6,14
COROICO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,15,9,24
CORQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,2,1,3
COTAGAITA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,25,20,45
COTOCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,135,12,147
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,26,5,31
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1,0,1
CUEVO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,4,2,6
CULPINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,20,12,32
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,6,4,10
CURVA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,0,3,3
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,8,1,9
