,group,variable,month,BCG,BCG,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en menores de 1 ano,bcg,2013-01-01,7,4,11
ACHACACHI,vacunaciones en menores de 1 ano,bcg,2013-01-01,50,23,73
ACHOCALLA,vacunaciones en menores de 1 ano,bcg,2013-01-01,13,4,17
AIQUILE,vacunaciones en menores de 1 ano,bcg,2013-01-01,47,7,54
ALALAY,vacunaciones en menores de 1 ano,bcg,2013-01-01,3,3,6
ALCALA,vacunaciones en menores de 1 ano,bcg,2013-01-01,8,1,9
ALTO BENI,vacunaciones en menores de 1 ano,bcg,2013-01-01,14,2,16
ANCORAIMES,vacunaciones en menores de 1 ano,bcg,2013-01-01,4,10,14
ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,1,1
ANTEQUERA,vacunaciones en menores de 1 ano,bcg,2013-01-01,4,1,5
ANZALDO,vacunaciones en menores de 1 ano,bcg,2013-01-01,8,5,13
APOLO,vacunaciones en menores de 1 ano,bcg,2013-01-01,23,8,31
ARAMPAMPA,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,11,11
ARANI,vacunaciones en menores de 1 ano,bcg,2013-01-01,13,4,17
ARBIETO,vacunaciones en menores de 1 ano,bcg,2013-01-01,11,12,23
ARQUE,vacunaciones en menores de 1 ano,bcg,2013-01-01,19,6,25
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,bcg,2013-01-01,77,2,79
ATOCHA,vacunaciones en menores de 1 ano,bcg,2013-01-01,7,7,14
AUCAPATA,vacunaciones en menores de 1 ano,bcg,2013-01-01,1,7,8
AYATA,vacunaciones en menores de 1 ano,bcg,2013-01-01,4,12,16
AYO AYO,vacunaciones en menores de 1 ano,bcg,2013-01-01,5,8,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,bcg,2013-01-01,12,11,23
AZURDUY,vacunaciones en menores de 1 ano,bcg,2013-01-01,5,10,15
BATALLAS,vacunaciones en menores de 1 ano,bcg,2013-01-01,14,13,27
BAURES,vacunaciones en menores de 1 ano,bcg,2013-01-01,12,0,12
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2013-01-01,1,2,3
BELEN DE URMIRI,vacunaciones en menores de 1 ano,bcg,2013-01-01,1,2,3
BERMEJO,vacunaciones en menores de 1 ano,bcg,2013-01-01,70,1,71
BETANZOS,vacunaciones en menores de 1 ano,bcg,2013-01-01,27,26,53
BOLIVAR,vacunaciones en menores de 1 ano,bcg,2013-01-01,1,15,16
BOLPEBRA,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,5,5
BOYUIBE,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,6,6
BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2013-01-01,8,2,10
CABEZAS,vacunaciones en menores de 1 ano,bcg,2013-01-01,1,0,1
CAIROMA,vacunaciones en menores de 1 ano,bcg,2013-01-01,10,4,14
"CAIZA ""D""",vacunaciones en menores de 1 ano,bcg,2013-01-01,1,1,2
CAJUATA,vacunaciones en menores de 1 ano,bcg,2013-01-01,15,5,20
CALACOTO,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,4,4
CALAMARCA,vacunaciones en menores de 1 ano,bcg,2013-01-01,10,11,21
CAMARGO,vacunaciones en menores de 1 ano,bcg,2013-01-01,25,8,33
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,bcg,2013-01-01,2,0,2
CAMIRI,vacunaciones en menores de 1 ano,bcg,2013-01-01,70,0,70
CAPINOTA,vacunaciones en menores de 1 ano,bcg,2013-01-01,19,3,22
CAQUIAVIRI,vacunaciones en menores de 1 ano,bcg,2013-01-01,8,9,17
CARACOLLO,vacunaciones en menores de 1 ano,bcg,2013-01-01,18,8,26
CARANAVI,vacunaciones en menores de 1 ano,bcg,2013-01-01,81,10,91
CARAPARI,vacunaciones en menores de 1 ano,bcg,2013-01-01,15,4,19
CARIPUYO,vacunaciones en menores de 1 ano,bcg,2013-01-01,2,11,13
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,4,4
CATACORA,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,1,1
CHALLAPATA,vacunaciones en menores de 1 ano,bcg,2013-01-01,55,7,62
CHAQUI,vacunaciones en menores de 1 ano,bcg,2013-01-01,4,10,14
CHARAGUA,vacunaciones en menores de 1 ano,bcg,2013-01-01,20,28,48
CHARAÑA,vacunaciones en menores de 1 ano,bcg,2013-01-01,1,2,3
CHAYANTA,vacunaciones en menores de 1 ano,bcg,2013-01-01,13,12,25
CHIMORE,vacunaciones en menores de 1 ano,bcg,2013-01-01,13,4,17
CHOQUE COTA,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,bcg,2013-01-01,31,3,34
CHUMA,vacunaciones en menores de 1 ano,bcg,2013-01-01,5,23,28
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,3,3
CKOCHAS,vacunaciones en menores de 1 ano,bcg,2013-01-01,9,14,23
CLIZA,vacunaciones en menores de 1 ano,bcg,2013-01-01,19,15,34
COBIJA,vacunaciones en menores de 1 ano,bcg,2013-01-01,149,1,150
COCAPATA,vacunaciones en menores de 1 ano,bcg,2013-01-01,8,3,11
COCHABAMBA,vacunaciones en menores de 1 ano,bcg,2013-01-01,1717,3,1720
COLCAPIRHUA,vacunaciones en menores de 1 ano,bcg,2013-01-01,73,0,73
"COLCHA ""K""",vacunaciones en menores de 1 ano,bcg,2013-01-01,12,5,17
COLLANA,vacunaciones en menores de 1 ano,bcg,2013-01-01,1,2,3
COLOMI,vacunaciones en menores de 1 ano,bcg,2013-01-01,10,2,12
COLPA BELGICA,vacunaciones en menores de 1 ano,bcg,2013-01-01,7,5,12
COLQUECHACA,vacunaciones en menores de 1 ano,bcg,2013-01-01,30,60,90
COLQUENCHA,vacunaciones en menores de 1 ano,bcg,2013-01-01,1,11,12
COLQUIRI,vacunaciones en menores de 1 ano,bcg,2013-01-01,6,39,45
COMANCHE,vacunaciones en menores de 1 ano,bcg,2013-01-01,1,0,1
COMARAPA,vacunaciones en menores de 1 ano,bcg,2013-01-01,29,2,31
COMBAYA,vacunaciones en menores de 1 ano,bcg,2013-01-01,2,0,2
CONCEPCION,vacunaciones en menores de 1 ano,bcg,2013-01-01,33,3,36
COPACABANA,vacunaciones en menores de 1 ano,bcg,2013-01-01,7,11,18
CORIPATA,vacunaciones en menores de 1 ano,bcg,2013-01-01,8,8,16
CORO CORO,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,4,4
COROICO,vacunaciones en menores de 1 ano,bcg,2013-01-01,17,11,28
CORQUE,vacunaciones en menores de 1 ano,bcg,2013-01-01,5,3,8
COTAGAITA,vacunaciones en menores de 1 ano,bcg,2013-01-01,12,29,41
COTOCA,vacunaciones en menores de 1 ano,bcg,2013-01-01,136,13,149
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,1,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,bcg,2013-01-01,18,2,20
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,bcg,2013-01-01,1,2,3
CUEVO,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,1,1
CULPINA,vacunaciones en menores de 1 ano,bcg,2013-01-01,19,4,23
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,bcg,2013-01-01,2,4,6
CURVA,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,6,6
DESAGUADERO,vacunaciones en menores de 1 ano,bcg,2013-01-01,2,11,13
EL ALTO,vacunaciones en menores de 1 ano,bcg,2013-01-01,1724,115,1839
EL CHORO,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,3,3
EL PUENTE(STC),vacunaciones en menores de 1 ano,bcg,2013-01-01,17,1,18
EL PUENTE(TJA),vacunaciones en menores de 1 ano,bcg,2013-01-01,10,5,15
EL TORNO,vacunaciones en menores de 1 ano,bcg,2013-01-01,78,0,78
EL VILLAR,vacunaciones en menores de 1 ano,bcg,2013-01-01,9,0,9
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,bcg,2013-01-01,24,17,41
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,bcg,2013-01-01,37,3,40
ESCOMA,vacunaciones en menores de 1 ano,bcg,2013-01-01,6,3,9
EUCALIPTUS,vacunaciones en menores de 1 ano,bcg,2013-01-01,4,33,37
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,bcg,2013-01-01,2,3,5
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,bcg,2013-01-01,17,15,32
FILADELFIA,vacunaciones en menores de 1 ano,bcg,2013-01-01,5,1,6
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,bcg,2013-01-01,28,8,36
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,bcg,2013-01-01,2,19,21
GUANAY,vacunaciones en menores de 1 ano,bcg,2013-01-01,14,8,22
GUAQUI,vacunaciones en menores de 1 ano,bcg,2013-01-01,3,5,8
GUAYARAMERIN,vacunaciones en menores de 1 ano,bcg,2013-01-01,116,0,116
GUTIERREZ,vacunaciones en menores de 1 ano,bcg,2013-01-01,13,17,30
HUACARETA,vacunaciones en menores de 1 ano,bcg,2013-01-01,12,5,17
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,bcg,2013-01-01,2,9,11
HUACHACALLA,vacunaciones en menores de 1 ano,bcg,2013-01-01,4,0,4
HUANUNI,vacunaciones en menores de 1 ano,bcg,2013-01-01,49,1,50
HUARACAJE,vacunaciones en menores de 1 ano,bcg,2013-01-01,5,4,9
