,group,variable,month,NEUMOCÓCICA 2DA. DOSIS,NEUMOCÓCICA 2DA. DOSIS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
TARIJA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2013-07-01,9.0,0.0,9.0
LA PAZ,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2013-11-01,4.0,0.0,4.0
PELECHUCO,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2013-11-01,2.0,0.0,2.0
BOLPEBRA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2013-12-01,0.0,1.0,1.0
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,neumococica 2da. dosis,2013-12-01,0.0,1.0,1.0
EL ALTO,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2013-12-01,7.0,0.0,7.0
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,neumococica 2da. dosis,2013-12-01,1.0,0.0,1.0
LA ASUNTA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2013-12-01,1.0,0.0,1.0
LA PAZ,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2013-12-01,10.0,0.0,10.0
MOCOMOCO,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2013-12-01,1.0,0.0,1.0
PORVENIR,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2013-12-01,2.0,0.0,2.0
PUERTO CARABUCO,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2013-12-01,1.0,0.0,1.0
SAN CARLOS,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2013-12-01,2.0,0.0,2.0
SAN JULIAN,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2013-12-01,1.0,1.0,2.0
SUCRE,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2013-12-01,2.0,0.0,2.0
VILLAZON,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2013-12-01,2.0,0.0,2.0
YANACACHI,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2013-12-01,1.0,0.0,1.0
