,group,variable,month,NEUMOCÓCICA 1RA. DOSIS,NEUMOCÓCICA 1RA. DOSIS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
TARIJA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-02-01,1.0,0.0,1.0
MINEROS,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-03-01,2.0,0.0,2.0
TARIJA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-03-01,1.0,0.0,1.0
UNCIA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-04-01,0.0,6.0,6.0
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-05-01,0.0,1.0,1.0
WARNES,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-05-01,4.0,4.0,8.0
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-06-01,2.0,0.0,2.0
UNCIA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-06-01,0.0,3.0,3.0
TARIJA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-07-01,0.0,2.0,2.0
WARNES,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-08-01,2.0,2.0,4.0
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-09-01,3.0,0.0,3.0
TARIJA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-10-01,4.0,0.0,4.0
WARNES,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-10-01,4.0,0.0,4.0
ACHACACHI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,45.0,72.0,117.0
ACHOCALLA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,3.0,3.0,6.0
ALTO BENI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,92.0,6.0,98.0
ANCORAIMES,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,15.0,6.0,21.0
APOLO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,0.0,5.0,5.0
AUCAPATA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,1.0,1.0,2.0
AYO AYO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,3.0,0.0,3.0
BATALLAS,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,5.0,9.0,14.0
BUENA VISTA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,21.0,6.0,27.0
CAIROMA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,17.0,0.0,17.0
CAJUATA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,1.0,0.0,1.0
CALACOTO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,11.0,0.0,11.0
CALAMARCA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,23.0,4.0,27.0
CAQUIAVIRI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,5.0,6.0,11.0
CARANAVI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,126.0,21.0,147.0
CHACARILLA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,1.0,1.0,2.0
CHARAÑA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,3.0,0.0,3.0
CHUA COCANI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,2.0,0.0,2.0
COBIJA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,20.0,0.0,20.0
COLQUENCHA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,19.0,0.0,19.0
COLQUIRI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,0.0,3.0,3.0
COMBAYA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,2.0,9.0,11.0
CORIPATA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,2.0,2.0,4.0
CORO CORO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,10.0,2.0,12.0
DESAGUADERO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,20.0,1.0,21.0
EL ALTO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,1353.0,137.0,1490.0
ESCOMA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,16.0,4.0,20.0
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,0.0,1.0,1.0
GUANAY,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,31.0,14.0,45.0
GUAQUI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,3.0,1.0,4.0
HUACARETA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,16.0,1.0,17.0
HUARINA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,7.0,0.0,7.0
HUATAJATA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,5.0,1.0,6.0
HUMANATA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,4.0,14.0,18.0
ICHOCA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,6.0,4.0,10.0
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,24.0,20.0,44.0
JESUS DE MACHACA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,61.0,0.0,61.0
LA ASUNTA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,125.0,5.0,130.0
LA PAZ,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,1633.0,3.0,1636.0
LAJA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,21.0,0.0,21.0
LICOMA PAMPA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,5.0,12.0,17.0
MALLA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,0.0,6.0,6.0
MAPIRI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,50.0,0.0,50.0
MECAPACA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,7.0,4.0,11.0
MOCOMOCO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,17.0,27.0,44.0
MONTEAGUDO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,9.0,5.0,14.0
PALCA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,10.0,10.0,20.0
PALOS BLANCOS,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,65.0,27.0,92.0
PAPEL PAMPA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,8.0,15.0,23.0
PATACAMAYA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,24.0,0.0,24.0
PELECHUCO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,8.0,4.0,12.0
PORVENIR,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,11.0,6.0,17.0
PUCARANI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,21.0,1.0,22.0
PUERTO ACOSTA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,27.0,36.0,63.0
PUERTO CARABUCO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,26.0,81.0,107.0
PUERTO RICO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,17.0,5.0,22.0
QUIABAYA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,4.0,5.0,9.0
QUIME,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,11.0,11.0,22.0
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,6.0,1.0,7.0
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,1.0,0.0,1.0
SAN CARLOS,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,13.0,0.0,13.0
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,9.0,0.0,9.0
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,0.0,10.0,10.0
SAN RAMON SCZ,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,6.0,0.0,6.0
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,3.0,17.0,20.0
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,8.0,10.0,18.0
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,13.0,1.0,14.0
SAPAHAQUI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,8.0,0.0,8.0
SENA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,2.0,11.0,13.0
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,2.0,7.0,9.0
SORATA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,5.0,17.0,22.0
TARACO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,32.0,0.0,32.0
