,group,variable,month,ANTIROTAVIRICA 2RA. DOSIS,ANTIROTAVIRICA 2RA. DOSIS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,4,2,6
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,34,10,44
ACHOCALLA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,21,2,23
AIQUILE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,34,12,46
ALALAY,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,0,4,4
ALCALA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,6,4,10
ALTO BENI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,12,3,15
ANCORAIMES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,13,5,18
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,0,2,2
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,4,0,4
ANZALDO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,5,12,17
APOLO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,16,12,28
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,3,5,8
ARANI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,20,1,21
ARBIETO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,19,13,32
ARQUE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,26,5,31
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,54,1,55
ATOCHA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,12,0,12
AUCAPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,3,3,6
AYATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,9,6,15
AYO AYO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,8,1,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,24,13,37
AZURDUY,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,14,12,26
BATALLAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,16,5,21
BAURES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,9,0,9
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,0,1,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,0,2,2
BELLA FLOR,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,2,3
BERMEJO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,48,10,58
BETANZOS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,44,17,61
BOLIVAR,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,8,1,9
BOLPEBRA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,0,1
BOYUIBE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,7,1,8
BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,20,10,30
CABEZAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,22,2,24
CAIROMA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,11,5,16
"CAIZA ""D""",vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,5,6,11
CAJUATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,15,2,17
CALACOTO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,6,5,11
CALAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,15,5,20
CAMARGO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,25,7,32
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,4,2,6
CAMIRI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,58,6,64
CAPINOTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,33,2,35
CAQUIAVIRI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,6,4,10
CARACOLLO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,23,10,33
CARANAVI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,65,13,78
CARANGAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,0,1
CARAPARI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,9,2,11
CARIPUYO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,17,18
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,5,6,11
CATACORA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,0,1
CHACARILLA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,1,2
CHALLAPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,41,7,48
CHAQUI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,3,4,7
CHARAGUA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,24,19,43
CHARAÑA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,0,1
CHAYANTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,16,4,20
CHIMORE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,26,5,31
CHOQUE COTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,30,6,36
CHUMA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,5,4,9
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,8,2,10
CKOCHAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,12,7,19
CLIZA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,26,6,32
COBIJA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,104,17,121
COCAPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,6,9,15
COCHABAMBA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1184,6,1190
COLCAPIRHUA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,90,1,91
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,16,2,18
COLLANA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,6,1,7
COLOMI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,21,5,26
COLPA BELGICA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,11,4,15
COLQUECHACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,16,37,53
COLQUENCHA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,11,0,11
COLQUIRI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,22,29,51
COMANCHE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,4,5
COMARAPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,20,8,28
COMBAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,2,3
CONCEPCION,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,38,11,49
COPACABANA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,9,8,17
CORIPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,18,3,21
CORO CORO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,8,6,14
COROICO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,13,8,21
CORQUE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,2,1,3
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,24,19,43
COTOCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,119,10,129
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,9,6,15
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,0,1
CUEVO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,4,2,6
CULPINA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,20,11,31
