municipality,group,variable,month,Adultos(as) mayores de 60 años que reciben Complemento Nutricional,TOTAL
ACACIO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2018-01-01,485,485
ACHACACHI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2018-01-01,85,85
ACHOCALLA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2018-01-01,17,17
AIQUILE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2018-01-01,1432,1432
ALALAY,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2018-01-01,167,167
ALCALA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2018-01-01,72,72
ALTO BENI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2018-01-01,426,426
ANCORAIMES,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2018-01-01,212,212
ANDAMARCA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2018-01-01,373,373
ANTEQUERA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2018-01-01,74,74
ANZALDO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2018-01-01,534,534
APOLO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2018-01-01,86,86
ARAMPAMPA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2018-01-01,197,197
ARANI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2018-01-01,577,577
ARBIETO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2018-01-01,1111,1111
ARQUE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2018-01-01,629,629
ASCENCION DE GUARAYOS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2018-01-01,9,9
ATOCHA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2018-01-01,221,221
AUCAPATA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2018-01-01,138,138
