municipality,group,variable,month,Niñas(os) de 1 año que reciben alimento complementario,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,51,51
ACHACACHI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,181,181
ACHOCALLA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,141,141
AIQUILE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,259,259
ALALAY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,32,32
ALCALA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,35,35
ALTO BENI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,135,135
ANCORAIMES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,71,71
ANDAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,43,43
ANTEQUERA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,20,20
ANZALDO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,65,65
APOLO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,176,176
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,56,56
ARANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,123,123
ARBIETO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,270,270
ARQUE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,156,156
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,25,25
ATOCHA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,66,66
AUCAPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,31,31
AYATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,77,77
AYO AYO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,64,64
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,161,161
AZURDUY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,150,150
BATALLAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,118,118
BAURES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,54,54
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,11,11
BELEN DE URMIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,19,19
BELLA FLOR,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,40,40
BETANZOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,360,360
BOLIVAR,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,64,64
BOLPEBRA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,19,19
BOYUIBE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,60,60
BUENA VISTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,1,1
CABEZAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,56,56
CAIROMA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,106,106
"CAIZA ""D""",micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,133,133
CAJUATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,80,80
CALACOTO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,31,31
CALAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,135,135
CAMARGO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,59,59
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,42,42
CAMIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,160,160
CAPINOTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,239,239
CAQUIAVIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,80,80
CARACOLLO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,209,209
CARAPARI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,215,215
CARIPUYO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,85,85
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,4,4
CATACORA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,11,11
CHACARILLA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,4,4
CHALLAPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,442,442
CHAQUI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,104,104
CHARAGUA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,29,29
CHARAÑA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,10,10
CHAYANTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,157,157
CHIMORE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,408,408
CHIPAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,17,17
CHOQUE COTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,13,13
CHUA COCANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,17,17
CHUMA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,90,90
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,103,103
CKOCHAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,184,184
CLIZA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,239,239
COCAPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,315,315
COCHABAMBA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,2693,2693
COLCAPIRHUA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,166,166
"COLCHA ""K""",micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,143,143
COLLANA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,21,21
COLOMI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,198,198
COLPA BELGICA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,30,30
COLQUECHACA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,492,492
COLQUENCHA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,81,81
COLQUIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,97,97
COMANCHE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,26,26
COMBAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,5,5
CONCEPCION,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,39,39
COPACABANA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,56,56
CORO CORO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,17,17
COROICO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,60,60
CORQUE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,52,52
COTAGAITA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,204,204
COTOCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,210,210
CRUZ DE MACHACAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,3,3
CUATRO CAÑADAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,6,6
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,13,13
CUEVO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,60,60
CULPINA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,209,209
CURAHUARA DE CARANGAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,49,49
CURVA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,32,32
DESAGUADERO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,42,42
EL ALTO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,1730,1730
EL CHORO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,37,37
EL PUENTE(STC),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,149,149
EL PUENTE(TJA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,140,140
EL TORNO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,37,37
EL VILLAR,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,43,43
ENTRE RIOS TRJ,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,290,290
ENTRE RIOS CBBA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,520,520
ESCOMA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,2,2
ESMERALDA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,5,5
EUCALIPTUS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,55,55
EUREKA (SANTOS MERCADO),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2018-01-01,20,20
