,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR POST,CIRUGIA BUCOMAXILOFACIAL MENOR POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ATOCHA,atencion odontologica,cirugia bucomaxilofacial menor,2019-01-01,2,0,6,4,6,4,3,12,7,7,0,0,0,0,51
BETANZOS,atencion odontologica,cirugia bucomaxilofacial menor,2019-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2019-01-01,0,0,0,0,0,0,0,4,0,1,0,0,0,0,5
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,cirugia bucomaxilofacial menor,2019-01-01,0,0,1,1,2,1,2,0,2,0,0,0,0,0,9
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2019-01-01,0,0,1,3,2,0,2,3,0,0,0,0,0,0,11
COMARAPA,atencion odontologica,cirugia bucomaxilofacial menor,2019-01-01,0,0,0,0,0,0,0,4,1,1,0,0,0,0,6
CORO CORO,atencion odontologica,cirugia bucomaxilofacial menor,2019-01-01,0,0,2,1,1,4,0,0,0,0,0,0,0,0,8
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2019-01-01,0,0,0,0,1,4,0,0,0,0,0,0,0,0,5
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2019-01-01,0,0,6,2,11,17,41,61,3,10,0,0,0,0,151
