,group,variable,month,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA EMB,CONSULTA NUEVA EMB,CONSULTA NUEVA POST,CONSULTA NUEVA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,consulta nueva,2019-01-01,19,20,11,23,5,10,6,51,5,9,0,19,0,17,195
ACHACACHI,atencion odontologica,consulta nueva,2019-01-01,96,106,66,79,29,66,89,123,36,41,0,9,0,50,790
ACHOCALLA,atencion odontologica,consulta nueva,2019-01-01,184,111,20,11,3,21,4,90,28,28,0,38,0,38,576
AIQUILE,atencion odontologica,consulta nueva,2019-01-01,69,69,56,63,21,57,12,60,29,31,0,7,0,23,497
ALALAY,atencion odontologica,consulta nueva,2019-01-01,0,2,0,15,8,13,9,5,0,0,0,0,0,1,53
ALCALA,atencion odontologica,consulta nueva,2019-01-01,43,49,31,32,15,41,32,79,2,4,0,8,0,5,341
ALTO BENI,atencion odontologica,consulta nueva,2019-01-01,30,31,10,17,7,13,13,27,20,7,0,0,0,9,184
ANCORAIMES,atencion odontologica,consulta nueva,2019-01-01,8,5,7,10,5,11,6,18,12,19,0,0,0,0,101
ANDAMARCA,atencion odontologica,consulta nueva,2019-01-01,40,40,26,56,15,51,13,49,24,48,0,9,0,13,384
ANTEQUERA,atencion odontologica,consulta nueva,2019-01-01,27,23,47,76,13,24,11,37,5,7,0,5,0,5,280
ANZALDO,atencion odontologica,consulta nueva,2019-01-01,0,6,4,10,1,4,4,24,14,15,0,10,0,6,98
APOLO,atencion odontologica,consulta nueva,2019-01-01,43,37,26,46,11,41,17,40,23,23,0,7,0,10,324
ARAMPAMPA,atencion odontologica,consulta nueva,2019-01-01,30,22,5,3,3,2,1,43,23,27,0,8,0,9,176
