,group,variable,month,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR POST,CIRUGIA BUCAL MENOR POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,0,2,0,0,0,8,3,1,0,0,0,0,14
ACHACACHI,atencion odontologica,cirugia bucal menor,2019-01-01,3,4,13,7,5,10,6,12,12,14,0,0,0,0,86
ACHOCALLA,atencion odontologica,cirugia bucal menor,2019-01-01,5,4,9,6,1,8,2,22,10,4,0,0,0,0,71
AIQUILE,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,6,9,1,2,0,0,3,2,0,0,0,0,23
ALALAY,atencion odontologica,cirugia bucal menor,2019-01-01,0,1,0,4,2,0,2,0,0,0,0,0,0,0,9
ALCALA,atencion odontologica,cirugia bucal menor,2019-01-01,0,1,11,8,1,6,8,18,1,2,0,0,0,0,56
ALTO BENI,atencion odontologica,cirugia bucal menor,2019-01-01,2,0,2,2,1,3,9,14,5,1,0,0,0,0,39
ANCORAIMES,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,4,7,4,8,4,14,8,12,0,0,0,0,61
ANDAMARCA,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,8,8,1,3,3,0,5,6,0,0,0,0,34
ANTEQUERA,atencion odontologica,cirugia bucal menor,2019-01-01,1,2,7,9,3,0,0,5,1,0,0,0,0,0,28
ANZALDO,atencion odontologica,cirugia bucal menor,2019-01-01,0,1,1,3,0,1,0,4,1,6,0,0,0,0,17
APOLO,atencion odontologica,cirugia bucal menor,2019-01-01,14,3,10,20,6,16,8,13,3,9,0,0,0,0,102
