,group,variable,month,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES EMB,RESTAURACIONES EMB,RESTAURACIONES POST,RESTAURACIONES POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,restauraciones,2019-01-01,6,4,4,4,0,3,2,17,0,0,0,0,0,0,40
ACHACACHI,atencion odontologica,restauraciones,2019-01-01,41,41,40,61,16,41,69,61,13,11,0,0,0,0,394
ACHOCALLA,atencion odontologica,restauraciones,2019-01-01,52,37,4,1,0,3,1,21,4,2,0,0,0,0,125
AIQUILE,atencion odontologica,restauraciones,2019-01-01,24,14,28,23,22,30,5,33,23,8,0,0,0,0,210
ALALAY,atencion odontologica,restauraciones,2019-01-01,0,0,0,0,1,1,0,3,0,0,0,0,0,0,5
ALCALA,atencion odontologica,restauraciones,2019-01-01,6,11,19,15,16,23,20,35,0,0,0,0,0,0,145
ALTO BENI,atencion odontologica,restauraciones,2019-01-01,9,14,0,5,5,13,2,10,3,0,0,0,0,0,61
ANCORAIMES,atencion odontologica,restauraciones,2019-01-01,2,2,2,3,1,3,2,4,4,6,0,0,0,0,29
ANDAMARCA,atencion odontologica,restauraciones,2019-01-01,12,11,9,17,2,21,6,27,0,11,0,0,0,0,116
ANTEQUERA,atencion odontologica,restauraciones,2019-01-01,2,4,7,20,5,12,6,9,1,2,0,0,0,0,68
ANZALDO,atencion odontologica,restauraciones,2019-01-01,0,4,1,4,0,1,3,4,2,2,0,0,0,0,21
APOLO,atencion odontologica,restauraciones,2019-01-01,17,25,14,19,4,23,6,18,10,6,0,0,0,0,142
ARAMPAMPA,atencion odontologica,restauraciones,2019-01-01,3,0,0,1,0,1,0,12,2,8,0,0,0,0,27
ARANI,atencion odontologica,restauraciones,2019-01-01,32,28,12,32,4,11,8,29,0,1,0,0,0,0,157
