,group,variable,month,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA EMB,PERIODONCIA EMB,PERIODONCIA POST,PERIODONCIA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,periodoncia,2019-01-01,0,0,0,0,1,2,0,9,0,4,0,0,0,0,16
ACHACACHI,atencion odontologica,periodoncia,2019-01-01,0,0,0,0,0,0,1,4,0,2,0,0,0,0,7
ACHOCALLA,atencion odontologica,periodoncia,2019-01-01,0,0,0,1,0,3,1,7,3,4,0,0,0,0,19
AIQUILE,atencion odontologica,periodoncia,2019-01-01,0,0,0,1,0,0,2,6,1,2,0,0,0,0,12
ALCALA,atencion odontologica,periodoncia,2019-01-01,0,0,0,0,1,1,0,3,0,0,0,0,0,0,5
ALTO BENI,atencion odontologica,periodoncia,2019-01-01,0,0,1,0,0,1,0,1,1,0,0,0,0,0,4
ANDAMARCA,atencion odontologica,periodoncia,2019-01-01,0,0,0,0,0,1,1,2,9,7,0,0,0,0,20
ANTEQUERA,atencion odontologica,periodoncia,2019-01-01,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3
APOLO,atencion odontologica,periodoncia,2019-01-01,0,0,0,0,0,2,0,8,0,0,0,0,0,0,10
ARAMPAMPA,atencion odontologica,periodoncia,2019-01-01,0,0,0,0,0,0,0,3,2,1,0,0,0,0,6
ARANI,atencion odontologica,periodoncia,2019-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ARBIETO,atencion odontologica,periodoncia,2019-01-01,0,0,0,0,0,5,2,9,5,10,0,0,0,0,31
ARQUE,atencion odontologica,periodoncia,2019-01-01,0,0,0,0,1,8,7,9,3,4,0,0,0,0,32
ASCENCION DE GUARAYOS,atencion odontologica,periodoncia,2019-01-01,0,0,0,0,0,5,0,11,7,4,0,0,0,0,27
