,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-01-01,0,0,0,0,0,1,2,0,0,4,0,0,0,0,7
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-01-01,2,1,1,1,0,1,3,6,1,1,0,0,0,0,17
PUERTO SUAREZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-01-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-01-01,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-01-01,0,0,1,1,0,0,2,7,0,0,0,0,0,0,11
CARANAVI,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-02-01,0,1,0,0,1,0,0,1,2,1,0,0,0,0,6
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-02-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
COLCAPIRHUA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
