,group,variable,month,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA EMB,ENDODONCIA EMB,ENDODONCIA POST,ENDODONCIA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,endodoncia,2019-01-01,0,2,0,1,0,0,0,1,0,0,0,0,0,0,4
ACHACACHI,atencion odontologica,endodoncia,2019-01-01,4,6,3,2,1,4,10,12,1,0,0,0,0,0,43
ACHOCALLA,atencion odontologica,endodoncia,2019-01-01,11,3,2,2,1,2,0,6,1,1,0,0,0,0,29
AIQUILE,atencion odontologica,endodoncia,2019-01-01,2,1,8,8,0,3,0,1,15,2,0,0,0,0,40
ALALAY,atencion odontologica,endodoncia,2019-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
ALCALA,atencion odontologica,endodoncia,2019-01-01,0,0,0,2,0,3,1,3,0,0,0,0,0,0,9
ALTO BENI,atencion odontologica,endodoncia,2019-01-01,3,1,0,1,1,1,1,4,1,0,0,0,0,0,13
ANDAMARCA,atencion odontologica,endodoncia,2019-01-01,2,1,2,1,1,1,2,2,0,2,0,0,0,0,14
ANTEQUERA,atencion odontologica,endodoncia,2019-01-01,0,0,3,3,1,0,0,2,0,0,0,0,0,0,9
APOLO,atencion odontologica,endodoncia,2019-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ARAMPAMPA,atencion odontologica,endodoncia,2019-01-01,2,0,0,0,0,0,0,2,0,0,0,0,0,0,4
ARANI,atencion odontologica,endodoncia,2019-01-01,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3
ARBIETO,atencion odontologica,endodoncia,2019-01-01,6,7,2,1,0,1,2,0,1,0,0,0,0,0,20
ARQUE,atencion odontologica,endodoncia,2019-01-01,1,0,0,0,0,0,1,6,0,0,0,0,0,0,8
