,group,variable,month,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS POST,MEDIDAS PREVENTIVAS POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,medidas preventivas,2019-01-01,13,15,0,11,0,3,0,6,0,2,0,0,0,0,50
ACHACACHI,atencion odontologica,medidas preventivas,2019-01-01,57,77,20,22,9,9,9,22,7,13,0,0,0,0,245
ACHOCALLA,atencion odontologica,medidas preventivas,2019-01-01,104,64,3,1,0,2,0,21,4,7,0,0,0,0,206
AIQUILE,atencion odontologica,medidas preventivas,2019-01-01,26,40,86,111,18,60,8,54,30,16,0,0,0,0,449
ALALAY,atencion odontologica,medidas preventivas,2019-01-01,0,0,0,4,0,2,0,0,0,0,0,0,0,0,6
ALCALA,atencion odontologica,medidas preventivas,2019-01-01,32,32,1,3,0,4,0,4,0,0,0,0,0,0,76
ALTO BENI,atencion odontologica,medidas preventivas,2019-01-01,23,27,11,10,1,2,1,6,12,6,0,0,0,0,99
ANCORAIMES,atencion odontologica,medidas preventivas,2019-01-01,6,3,1,0,0,0,0,0,0,1,0,0,0,0,11
ANDAMARCA,atencion odontologica,medidas preventivas,2019-01-01,23,26,5,28,8,23,2,2,0,9,0,0,0,0,126
ANTEQUERA,atencion odontologica,medidas preventivas,2019-01-01,18,10,26,40,3,10,0,3,1,1,0,0,0,0,112
ANZALDO,atencion odontologica,medidas preventivas,2019-01-01,0,1,1,1,0,1,0,7,10,7,0,0,0,0,28
APOLO,atencion odontologica,medidas preventivas,2019-01-01,13,9,2,8,1,1,3,2,10,8,0,0,0,0,57
