,group,variable,month,APLICACIÓN DE FLUOR MENORES DE 5 AÑOS,APLICACIÓN DE FLUOR MENORES DE 5 AÑOS,APLICACIÓN DE FLUOR 5 A 13 AÑOS,APLICACIÓN DE FLUOR 5 A 13 AÑOS,APLICACIÓN DE FLUOR 14 A 19 AÑOS,APLICACIÓN DE FLUOR 14 A 19 AÑOS,APLICACIÓN DE FLUOR 20 A 59 AÑOS,APLICACIÓN DE FLUOR 20 A 59 AÑOS,APLICACIÓN DE FLUOR 60 AÑOS Y MAS,APLICACIÓN DE FLUOR 60 AÑOS Y MAS,APLICACIÓN DE FLUOR EMB,APLICACIÓN DE FLUOR EMB,APLICACIÓN DE FLUOR POST,APLICACIÓN DE FLUOR POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,aplicacion de fluor,2019-01-01,11,9,0,4,0,2,0,3,0,0,0,0,0,0,29
ACHACACHI,atencion odontologica,aplicacion de fluor,2019-01-01,3,3,1,1,2,1,1,0,0,0,0,0,0,0,12
ACHOCALLA,atencion odontologica,aplicacion de fluor,2019-01-01,12,16,0,1,0,0,0,9,0,0,0,0,0,0,38
AIQUILE,atencion odontologica,aplicacion de fluor,2019-01-01,0,2,5,9,0,4,1,4,1,1,0,0,0,0,27
ALALAY,atencion odontologica,aplicacion de fluor,2019-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
ALCALA,atencion odontologica,aplicacion de fluor,2019-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ALTO BENI,atencion odontologica,aplicacion de fluor,2019-01-01,15,16,2,2,0,0,1,2,1,0,0,0,0,0,39
ANCORAIMES,atencion odontologica,aplicacion de fluor,2019-01-01,6,3,1,0,0,0,0,0,0,0,0,0,0,0,10
ANDAMARCA,atencion odontologica,aplicacion de fluor,2019-01-01,7,6,0,0,0,0,1,0,0,4,0,0,0,0,18
ANTEQUERA,atencion odontologica,aplicacion de fluor,2019-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
APOLO,atencion odontologica,aplicacion de fluor,2019-01-01,3,1,0,2,0,0,0,0,0,0,0,0,0,0,6
ARAMPAMPA,atencion odontologica,aplicacion de fluor,2019-01-01,5,5,0,0,0,0,0,1,1,1,0,0,0,0,13
