,group,variable,month,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA EMB,EXODONCIA EMB,EXODONCIA POST,EXODONCIA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,exodoncia,2019-01-01,0,0,0,1,0,0,0,4,3,1,0,0,0,0,9
ACHACACHI,atencion odontologica,exodoncia,2019-01-01,2,1,9,7,3,6,2,8,10,13,0,0,0,0,61
ACHOCALLA,atencion odontologica,exodoncia,2019-01-01,0,2,6,3,0,6,1,12,7,3,0,0,0,0,40
AIQUILE,atencion odontologica,exodoncia,2019-01-01,0,0,4,5,0,0,0,0,1,1,0,0,0,0,11
ALALAY,atencion odontologica,exodoncia,2019-01-01,0,0,0,1,2,0,1,0,0,0,0,0,0,0,4
ALCALA,atencion odontologica,exodoncia,2019-01-01,0,0,3,4,0,1,2,7,0,0,0,0,0,0,17
ALTO BENI,atencion odontologica,exodoncia,2019-01-01,0,0,2,2,1,3,9,13,4,1,0,0,0,0,35
ANCORAIMES,atencion odontologica,exodoncia,2019-01-01,0,0,3,7,3,8,4,14,7,10,0,0,0,0,56
ANDAMARCA,atencion odontologica,exodoncia,2019-01-01,0,0,8,6,1,2,3,0,3,4,0,0,0,0,27
ANTEQUERA,atencion odontologica,exodoncia,2019-01-01,0,0,4,7,0,0,0,2,1,0,0,0,0,0,14
ANZALDO,atencion odontologica,exodoncia,2019-01-01,0,0,1,2,0,1,0,3,1,5,0,0,0,0,13
APOLO,atencion odontologica,exodoncia,2019-01-01,2,0,7,15,6,14,5,11,3,9,0,0,0,0,72
ARAMPAMPA,atencion odontologica,exodoncia,2019-01-01,0,0,2,0,0,0,0,4,6,2,0,0,0,0,14
ARANI,atencion odontologica,exodoncia,2019-01-01,0,0,8,7,0,1,3,9,2,3,0,0,0,0,33
ARBIETO,atencion odontologica,exodoncia,2019-01-01,0,2,16,11,2,0,1,11,6,8,0,0,0,0,57
