,group,variable,month,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2019-01-01,23,0,4,4,0,0,12,30,4,6,0,0,0,0,83
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2019-01-01,0,0,0,1,0,1,2,8,6,0,0,0,0,0,18
PUERTO SUAREZ,atencion odontologica,trat. de fracturas dentoalveolares,2019-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2019-01-01,0,3,0,0,0,0,13,9,0,0,0,0,0,0,25
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2019-01-01,21,19,49,63,44,17,20,128,5,0,0,0,0,0,366
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2019-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2019-02-01,1,4,5,2,1,2,24,33,6,8,0,0,0,0,86
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2019-02-01,0,0,1,0,2,0,2,4,2,1,0,0,0,0,12
QUILLACOLLO,atencion odontologica,trat. de fracturas dentoalveolares,2019-02-01,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
