,group,variable,month,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA EMB,CONSULTA REPETIDA EMB,CONSULTA REPETIDA POST,CONSULTA REPETIDA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,consulta repetida,2019-01-01,0,6,4,5,0,0,0,16,0,0,0,6,0,3,40
ACHACACHI,atencion odontologica,consulta repetida,2019-01-01,60,28,15,21,6,17,9,30,8,8,0,0,0,7,209
ACHOCALLA,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,5,0,4,1,0,0,0,0,0,10
AIQUILE,atencion odontologica,consulta repetida,2019-01-01,9,20,13,7,4,12,1,7,19,4,0,4,0,1,101
ALALAY,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,2,3,0,0,0,0,0,0,0,0,5
ALCALA,atencion odontologica,consulta repetida,2019-01-01,0,3,4,24,2,25,4,29,0,2,0,2,0,0,95
ALTO BENI,atencion odontologica,consulta repetida,2019-01-01,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4
ANDAMARCA,atencion odontologica,consulta repetida,2019-01-01,7,4,4,0,12,9,4,14,12,12,0,0,0,8,86
ANTEQUERA,atencion odontologica,consulta repetida,2019-01-01,1,4,16,19,6,1,4,10,0,0,0,1,0,0,62
APOLO,atencion odontologica,consulta repetida,2019-01-01,3,0,0,1,0,1,0,1,0,0,0,0,0,0,6
ARAMPAMPA,atencion odontologica,consulta repetida,2019-01-01,2,0,0,0,1,0,1,13,0,0,0,2,0,0,19
ARANI,atencion odontologica,consulta repetida,2019-01-01,16,8,4,13,2,3,8,30,1,4,0,0,0,5,94
ARBIETO,atencion odontologica,consulta repetida,2019-01-01,8,8,3,2,0,2,2,2,5,6,0,0,0,0,38
