,group,variable,month,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA EMB,PRIMERA CONSULTA EMB,PRIMERA CONSULTA POST,PRIMERA CONSULTA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,primera consulta,2019-01-01,7,9,6,9,2,4,7,31,16,25,0,7,0,7,130
ACHACACHI,atencion odontologica,primera consulta,2019-01-01,19,14,8,9,6,5,6,21,7,10,0,1,0,7,113
ACHOCALLA,atencion odontologica,primera consulta,2019-01-01,84,66,13,10,2,11,3,72,13,18,0,37,0,19,348
AIQUILE,atencion odontologica,primera consulta,2019-01-01,10,20,8,11,8,9,5,7,4,8,0,1,0,6,97
ALALAY,atencion odontologica,primera consulta,2019-01-01,0,1,0,4,2,5,4,2,0,0,0,0,0,0,18
ALCALA,atencion odontologica,primera consulta,2019-01-01,51,46,19,24,8,24,16,56,3,4,0,8,0,7,266
ALTO BENI,atencion odontologica,primera consulta,2019-01-01,26,24,8,8,4,10,11,22,19,5,0,0,0,6,143
ANCORAIMES,atencion odontologica,primera consulta,2019-01-01,5,4,6,6,2,5,4,12,8,12,0,0,0,0,64
ANDAMARCA,atencion odontologica,primera consulta,2019-01-01,29,24,13,23,5,12,10,30,27,40,0,4,0,2,219
ANTEQUERA,atencion odontologica,primera consulta,2019-01-01,13,9,14,16,6,7,6,21,4,5,0,2,0,1,104
ANZALDO,atencion odontologica,primera consulta,2019-01-01,0,5,4,5,1,4,4,19,11,17,0,7,0,5,82
APOLO,atencion odontologica,primera consulta,2019-01-01,26,22,18,32,7,24,14,30,17,13,0,7,0,7,217
ARAMPAMPA,atencion odontologica,primera consulta,2019-01-01,9,8,3,2,1,1,1,15,9,11,0,2,0,4,66
