,group,variable,month,14.1 DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,14.1 DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,1.0,0.0,1.0
AZURDUY,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,0.0,5.0,5.0
BAURES,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,1.0,0.0,1.0
BERMEJO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,47.0,33.0,80.0
BOYUIBE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,1.0,0.0,1.0
CAMARGO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,4.0,4.0,8.0
CAMIRI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,11.0,11.0,22.0
CARANAVI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,3.0,5.0,8.0
CHALLAPATA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,0.0,1.0,1.0
CHARAGUA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,16.0,17.0,33.0
CLIZA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,3.0,0.0,3.0
COBIJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,5.0,3.0,8.0
COCHABAMBA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,28.0,30.0,58.0
COLCAPIRHUA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,1.0,0.0,1.0
COLQUECHACA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,2.0,4.0,6.0
COMARAPA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,1.0,0.0,1.0
COPACABANA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,13.0,14.0,27.0
COROICO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,0.0,1.0,1.0
COTAGAITA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,0.0,2.0,2.0
COTOCA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,3.0,3.0,6.0
CUATRO CAÑADAS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,45.0,30.0,75.0
CULPINA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,0.0,1.0,1.0
EL ALTO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,158.0,63.0,221.0
EL PUENTE(TJA),diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,3.0,1.0,4.0
EL TORNO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,3.0,5.0,8.0
ENTRE RIOS TRJ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,1.0,1.0,2.0
GUANAY,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,0.0,1.0,1.0
GUAYARAMERIN,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,18.0,6.0,24.0
GUTIERREZ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,0.0,1.0,1.0
HUACHACALLA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,0.0,1.0,1.0
LA GUARDIA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,8.0,1.0,9.0
LA PAZ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,35.0,23.0,58.0
MAGDALENA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,3.0,3.0,6.0
MONTEAGUDO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,3.0,2.0,5.0
MONTERO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,28.0,19.0,47.0
ORURO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,9.0,12.0,21.0
PAILON,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,0.0,4.0,4.0
PORTACHUELO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,10.0,10.0,20.0
POTOSI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,28.0,24.0,52.0
