,group,variable,month,14.2 NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,14.2 NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,1.0,0.0,1.0
ASCENCION DE GUARAYOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,8.0,9.0,17.0
ATOCHA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,1.0,0.0,1.0
AZURDUY,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,0.0,1.0,1.0
BERMEJO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,1.0,2.0,3.0
CAMARGO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,7.0,5.0,12.0
CAMIRI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,4.0,1.0,5.0
CARANAVI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,0.0,1.0,1.0
CHALLAPATA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,1.0,1.0,2.0
CHARAGUA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,3.0,3.0,6.0
CLIZA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,1.0,0.0,1.0
COBIJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,8.0,3.0,11.0
COCHABAMBA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,18.0,10.0,28.0
CONCEPCION,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,2.0,1.0,3.0
COROICO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,0.0,1.0,1.0
CUATRO CAÑADAS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,5.0,1.0,6.0
CULPINA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,0.0,1.0,1.0
EL ALTO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,31.0,20.0,51.0
EL TORNO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,1.0,2.0,3.0
ENTRE RIOS TRJ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,0.0,1.0,1.0
GUAYARAMERIN,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,4.0,1.0,5.0
LA PAZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,29.0,26.0,55.0
LLALLAGUA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,1.0,3.0,4.0
MAGDALENA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,3.0,0.0,3.0
MONTEAGUDO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,1.0,2.0,3.0
MONTERO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,16.0,18.0,34.0
ORURO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,5.0,4.0,9.0
PAILON,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,1.0,0.0,1.0
PORTACHUELO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,7.0,6.0,13.0
POTOSI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,20.0,15.0,35.0
PUERTO VILLARROEL,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,2.0,2.0,4.0
PUNATA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,0.0,1.0,1.0
QUILLACOLLO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,2.0,3.0,5.0
RIBERALTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,6.0,4.0,10.0
ROBORE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,0.0,1.0,1.0
RURRENABAQUE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,3.0,1.0,4.0
SACABA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,1.0,0.0,1.0
SAN BORJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,1.0,0.0,1.0
SAN CARLOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,3.0,3.0,6.0
