,group,variable,month,Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,vih,no de personas con prueba rapida,2020-01-01,0,2,2
ACHACACHI,vih,no de personas con prueba rapida,2020-01-01,2,0,2
AIQUILE,vih,no de personas con prueba rapida,2020-01-01,10,23,33
ALALAY,vih,no de personas con prueba rapida,2020-01-01,0,4,4
ALCALA,vih,no de personas con prueba rapida,2020-01-01,0,1,1
ANCORAIMES,vih,no de personas con prueba rapida,2020-01-01,1,2,3
ANDAMARCA,vih,no de personas con prueba rapida,2020-01-01,1,0,1
APOLO,vih,no de personas con prueba rapida,2020-01-01,3,9,12
ARANI,vih,no de personas con prueba rapida,2020-01-01,7,0,7
ARBIETO,vih,no de personas con prueba rapida,2020-01-01,7,8,15
ARQUE,vih,no de personas con prueba rapida,2020-01-01,0,18,18
ASCENCION DE GUARAYOS,vih,no de personas con prueba rapida,2020-01-01,34,183,217
ATOCHA,vih,no de personas con prueba rapida,2020-01-01,2,3,5
AYATA,vih,no de personas con prueba rapida,2020-01-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vih,no de personas con prueba rapida,2020-01-01,4,7,11
AZURDUY,vih,no de personas con prueba rapida,2020-01-01,10,27,37
BERMEJO,vih,no de personas con prueba rapida,2020-01-01,6,23,29
BETANZOS,vih,no de personas con prueba rapida,2020-01-01,2,3,5
BOLIVAR,vih,no de personas con prueba rapida,2020-01-01,0,1,1
BUENA VISTA,vih,no de personas con prueba rapida,2020-01-01,2,4,6
CABEZAS,vih,no de personas con prueba rapida,2020-01-01,6,7,13
"CAIZA ""D""",vih,no de personas con prueba rapida,2020-01-01,0,4,4
CAMARGO,vih,no de personas con prueba rapida,2020-01-01,17,38,55
CAMATAQUI (C. VILLA ABECIA),vih,no de personas con prueba rapida,2020-01-01,0,4,4
CAMIRI,vih,no de personas con prueba rapida,2020-01-01,25,48,73
CAPINOTA,vih,no de personas con prueba rapida,2020-01-01,8,26,34
CARACOLLO,vih,no de personas con prueba rapida,2020-01-01,0,9,9
CARANAVI,vih,no de personas con prueba rapida,2020-01-01,71,83,154
CARMEN RIVERO TORREZ,vih,no de personas con prueba rapida,2020-01-01,11,13,24
CHALLAPATA,vih,no de personas con prueba rapida,2020-01-01,2,10,12
CHARAGUA,vih,no de personas con prueba rapida,2020-01-01,13,13,26
CHIMORE,vih,no de personas con prueba rapida,2020-01-01,6,18,24
CHIPAYA,vih,no de personas con prueba rapida,2020-01-01,2,14,16
CHULUMANI (V. DE LA LIBERTAD),vih,no de personas con prueba rapida,2020-01-01,11,15,26
CHUMA,vih,no de personas con prueba rapida,2020-01-01,3,4,7
CHUQUIHUTA AYLLU JUCUMANI,vih,no de personas con prueba rapida,2020-01-01,2,3,5
CLIZA,vih,no de personas con prueba rapida,2020-01-01,3,4,7
COBIJA,vih,no de personas con prueba rapida,2020-01-01,37,31,68
COCHABAMBA,vih,no de personas con prueba rapida,2020-01-01,1415,1699,3114
COIPASA,vih,no de personas con prueba rapida,2020-01-01,1,0,1
COLCAPIRHUA,vih,no de personas con prueba rapida,2020-01-01,50,92,142
COLOMI,vih,no de personas con prueba rapida,2020-01-01,2,4,6
COLPA BELGICA,vih,no de personas con prueba rapida,2020-01-01,4,0,4
COLQUECHACA,vih,no de personas con prueba rapida,2020-01-01,2,0,2
COLQUENCHA,vih,no de personas con prueba rapida,2020-01-01,5,5,10
COMARAPA,vih,no de personas con prueba rapida,2020-01-01,5,22,27
CONCEPCION,vih,no de personas con prueba rapida,2020-01-01,2,4,6
COROICO,vih,no de personas con prueba rapida,2020-01-01,9,7,16
CORQUE,vih,no de personas con prueba rapida,2020-01-01,3,10,13
COTAGAITA,vih,no de personas con prueba rapida,2020-01-01,6,6,12
COTOCA,vih,no de personas con prueba rapida,2020-01-01,34,37,71
CUATRO CAÑADAS,vih,no de personas con prueba rapida,2020-01-01,11,47,58
CUCHUMUELA (V. G. VILLARROEL),vih,no de personas con prueba rapida,2020-01-01,0,1,1
CUEVO,vih,no de personas con prueba rapida,2020-01-01,0,1,1
CULPINA,vih,no de personas con prueba rapida,2020-01-01,4,35,39
