,group,variable,month,Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,1,1
ACHACACHI,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,54,54
AIQUILE,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,59,59
ALALAY,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,3,3
ALCALA,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,5,5
ALTO BENI,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,4,4
ANCORAIMES,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,1,1
ANDAMARCA,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,2,2
ARANI,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,20,20
ARBIETO,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,31,31
ARQUE,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,5,5
ASCENCION DE GUARAYOS,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,68,68
ATOCHA,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,11,11
AUCAPATA,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,13,13
AYATA,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,10,10
AYOPAYA (V. DE INDEPENDENCIA),vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,40,40
AZURDUY,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,7,7
BELEN DE ANDAMARCA,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,1,1
BELLA FLOR,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,6,6
BERMEJO,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,107,107
BETANZOS,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,50,50
BOLIVAR,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,8,8
BOLPEBRA,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,1,1
BOYUIBE,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,8,8
BUENA VISTA,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,49,49
CABEZAS,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,45,45
"CAIZA ""D""",vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,15,15
CAJUATA,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,11,11
CALAMARCA,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,7,7
CAMARGO,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,25,25
CAMATAQUI (C. VILLA ABECIA),vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,1,1
CAMIRI,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,215,215
CAPINOTA,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,57,57
CARACOLLO,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,15,15
CARANAVI,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,166,166
CARANGAS,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,1,1
CARAPARI,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,13,13
CHALLAPATA,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,49,49
CHAQUI,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,8,8
CHARAGUA,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,96,96
CHAYANTA,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,12,12
CHIMORE,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,63,63
CHIPAYA,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,3,3
CHULUMANI (V. DE LA LIBERTAD),vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,32,32
CHUMA,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,6,6
CHUQUIHUTA AYLLU JUCUMANI,vih,no de mujeres embarazadas con prueba rapida,2020-01-01,0,1,1
