municipality,group,variable,month,N° de autoevaluciones para acreditación del establecimiento,TOTAL
CHIMORE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-01-01,1,1
CKOCHAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-01-01,6,6
CLIZA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-01-01,1,1
COLOMI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-01-01,1,1
DESAGUADERO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-01-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-01-01,1,1
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-01-01,1,1
LA GUARDIA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-01-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-01-01,5,5
LAGUNILLAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-01-01,1,1
LLALLAGUA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-01-01,4,4
NUEVO MANOA (NUEVA ESPERANZA),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-01-01,1,1
OMEREQUE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-01-01,2,2
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-01-01,1,1
SAN BENITO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-01-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-01-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-01-01,0,0
SANTIVAÑES,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-01-01,1,1
TAPACARI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-01-01,4,4
TARIJA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-01-01,2,2
TOMAVE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-01-01,1,1
TOTORA(ORR),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-01-01,11,11
VILLA TUNARI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-01-01,3,3
ANCORAIMES,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,8,8
BETANZOS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,1,1
BOLPEBRA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,1,1
CARACOLLO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,2,2
CLIZA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,1,1
CONCEPCION,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,1,1
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,5,5
HUANUNI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,1,1
LA GUARDIA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,10,10
LAS CARRERAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,1,1
LLALLAGUA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,2,2
LURIBAY,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,1,1
MACHACAMARCA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,1,1
PAILON,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,1,1
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,1,1
PUERTO RICO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,16,16
PUNATA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,3,3
SAN BENITO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,1,1
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,1,1
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,1,1
SANTIVAÑES,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,1,1
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,1,1
TACOPAYA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,1,1
TUPIZA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,2,2
VILA VILA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,1,1
VILLA SERRANO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-02-01,1,1
ALTO BENI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
ARAMPAMPA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
ARANI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,2,2
ATOCHA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,2,2
BELLA FLOR,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
BUENA VISTA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
CAMIRI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
COBIJA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,4,4
COCHABAMBA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,2,2
COLQUECHACA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
COTOCA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,19,19
EL TORNO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
LA GUARDIA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,10,10
MECAPACA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,5,5
MOROCHATA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
ORURO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,2,2
PALCA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,2,2
PALOS BLANCOS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
PATACAMAYA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
RURRENABAQUE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
SACABA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
SAN AGUSTIN,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
SAN BENITO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
SAN RAMON BENI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,5,5
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,36,36
SANTIVAÑES,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,5,5
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,2,2
SUCRE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,2,2
TACOPAYA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,161,161
TURCO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
VACAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-03-01,1,1
ALTO BENI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-04-01,1,1
ARANI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-04-01,4,4
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-04-01,1,1
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-04-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-04-01,1,1
CKOCHAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-04-01,10,10
COBIJA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-04-01,8,8
COCHABAMBA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-04-01,1,1
"COLCHA ""K""",actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-04-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-04-01,2,2
EL ALTO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-04-01,12,12
EL TORNO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2011-04-01,1,1
