municipality,group,variable,month,Nº. De actividades educativas en Salud,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,20,20
ACHOCALLA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,1,1
AIQUILE,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,11,11
ALALAY,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,3,3
ALCALA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,12,12
ALTO BENI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,5,5
ANCORAIMES,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,1,1
ANDAMARCA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,3,3
ANZALDO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,1,1
ARQUE,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,5,5
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,10,10
ATOCHA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,2,2
AZURDUY,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,20,20
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,6,6
BERMEJO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,137,137
BETANZOS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,27,27
BOLIVAR,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,23,23
BOYUIBE,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,1,1
BUENA VISTA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,2,2
CABEZAS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,10,10
CAIROMA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,4,4
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,4,4
CALACOTO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,5,5
CALAMARCA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,16,16
CAMARGO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,49,49
CAMIRI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,6,6
CAPINOTA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,6,6
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,12,12
CARACOLLO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,21,21
CARANAVI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,30,30
CARAPARI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,4,4
CARIPUYO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,6,6
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,3,3
CATACORA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,2,2
CHALLAPATA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,22,22
CHARAGUA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,1,1
CHARAÑA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,7,7
CHIMORE,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2011-01-01,2,2
