municipality,group,variable,month,Nº de CAI de establecimiento,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,7,7
ACHOCALLA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,3,3
ALTO BENI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
ANCORAIMES,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
ANTEQUERA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
ANZALDO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
ARANI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
ARBIETO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,3,3
BETANZOS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,3,3
BOLIVAR,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
BOYUIBE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
BUENA VISTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
CABEZAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
CAMARGO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
CAPINOTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
CARANAVI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
CARIPUYO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
CHALLAPATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
CHARAGUA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,4,4
CHAYANTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
