municipality,group,variable,month,Numero de actividades realizadas con la comunidad,TOTAL
BERMEJO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-01-01,1,1
BETANZOS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-01-01,2,2
CARAPARI,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-01-01,1,1
EL PUENTE(TJA),control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-01-01,2,2
PUCARA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-01-01,3,3
PUNA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-01-01,1,1
PUNATA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-01-01,7,7
SAN LORENZO(TJA),control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-01-01,7,7
TACOPAYA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-01-01,2,2
ARQUE,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-02-01,4,4
BETANZOS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-02-01,8,8
CARANAVI,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-02-01,4,4
CARAPARI,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-02-01,2,2
EL PUENTE(TJA),control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-02-01,3,3
GUANAY,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-02-01,2,2
GUAYARAMERIN,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-02-01,5,5
IXIAMAS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-02-01,13,13
PADCAYA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-02-01,2,2
PALOS BLANCOS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-02-01,1,1
SAN BUENA VENTURA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-02-01,1,1
SAN JOAQUIN,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-02-01,1,1
SAN LORENZO(TJA),control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-02-01,6,6
SANTIVAÑES,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-02-01,15,15
TACOPAYA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-02-01,1,1
ANZALDO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,1,1
BETANZOS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,2,2
CAPINOTA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,13,13
CARANAVI,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,1,1
CARAPARI,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,2,2
CHIMORE,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,3,3
COLCAPIRHUA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,10,10
COTOCA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,2,2
