municipality,group,variable,month,AQV femenino,TOTAL
BERMEJO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,1,1
BETANZOS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,1,1
CAMARGO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,3,3
CARANAVI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,3,3
CHARAGUA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,4,4
COBIJA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,4,4
COCHABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,16,16
COMARAPA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,3,3
CONCEPCION,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,3,3
COPACABANA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,1,1
COTOCA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,1,1
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,2,2
EL TORNO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,4,4
LA PAZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,9,9
MAIRANA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,9,9
MONTEAGUDO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,3,3
MONTERO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,5,5
ORURO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,12,12
PADILLA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,9,9
PORTACHUELO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,3,3
POTOSI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,5,5
PUERTO SUAREZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,6,6
QUILLACOLLO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,3,3
ROBORE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,1,1
SACABA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,5,5
SAN BORJA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2006-01-01,1,1
