municipality,group,variable,month,AQV masculino,TOTAL
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2006-01-01,2,2
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2006-02-01,3,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2006-03-01,2,2
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2006-04-01,1,1
LA PAZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2006-04-01,1,1
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2006-05-01,2,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2006-05-01,1,1
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2006-06-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2006-06-01,2,2
CARANAVI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2006-07-01,1,1
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2006-07-01,3,3
CARANAVI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2006-08-01,1,1
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2006-08-01,3,3
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2006-09-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2006-09-01,2,2
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2006-10-01,1,1
BERMEJO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2006-11-01,2,2
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2006-11-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2006-11-01,1,1
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2006-12-01,3,3
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2006-12-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2006-12-01,1,1
