municipality,group,variable,month,Número de DIU insertados,TOTAL
ACACIO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de diu insertados,2006-01-01,1,1
ACHACACHI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de diu insertados,2006-01-01,3,3
ACHOCALLA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de diu insertados,2006-01-01,2,2
AIQUILE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de diu insertados,2006-01-01,3,3
ANTEQUERA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de diu insertados,2006-01-01,2,2
ANZALDO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de diu insertados,2006-01-01,1,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de diu insertados,2006-01-01,1,1
ATOCHA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de diu insertados,2006-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de diu insertados,2006-01-01,2,2
BERMEJO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de diu insertados,2006-01-01,6,6
BETANZOS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de diu insertados,2006-01-01,1,1
BUENA VISTA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de diu insertados,2006-01-01,5,5
CALAMARCA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de diu insertados,2006-01-01,2,2
CAMARGO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de diu insertados,2006-01-01,10,10
CAPINOTA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de diu insertados,2006-01-01,3,3
CARACOLLO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de diu insertados,2006-01-01,1,1
CARANAVI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de diu insertados,2006-01-01,2,2
CHARAGUA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de diu insertados,2006-01-01,1,1
CHAYANTA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de diu insertados,2006-01-01,1,1
CHIMORE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de diu insertados,2006-01-01,2,2
