municipality,group,variable,month,Nacidos vivos atendidos por partera capacitad,TOTAL
ACACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,6,6
ACHACACHI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
AIQUILE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,5,5
ANCORAIMES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,4,4
ANDAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
ARAMPAMPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,6,6
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
AZURDUY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,13,13
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,4,4
BELEN DE ANDAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
BOYUIBE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
BUENA VISTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
CAIROMA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,3,3
"CAIZA ""D""",atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,4,4
CALACOTO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,5,5
CALAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
CAMARGO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,4,4
