municipality,group,variable,month,Nacidos muertos atendidos por personal de sal,TOTAL
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-01-01,2,2
CORQUE,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-01-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-01-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-01-01,1,1
IXIAMAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-01-01,1,1
MONTEAGUDO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-01-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-01-01,1,1
PADCAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-01-01,1,1
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-01-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-01-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-01-01,1,1
VITICHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-01-01,1,1
YACO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-01-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-01-01,1,1
BAURES,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-02-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-02-01,1,1
CAMARGO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-02-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-02-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-02-01,1,1
COLQUIRI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-02-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-02-01,1,1
MALLA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-02-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-02-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-02-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-02-01,1,1
SAN JULIAN,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-02-01,1,1
SAN PEDRO(PND),atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-02-01,1,1
SANTIAGO DE HUARI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-02-01,1,1
TOMINA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-02-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-02-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-03-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-03-01,1,1
CALACOTO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-03-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-03-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-03-01,2,2
"COLCHA ""K""",atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-03-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-03-01,1,1
COMANCHE,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-03-01,1,1
CULPINA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-03-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-03-01,1,1
ENTRE RIOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-03-01,1,1
