municipality,group,variable,month,Nacidos vivos atendidos por personal de salud,TOTAL
ACACIO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,2,2
ACHACACHI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,25,25
ACHOCALLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,2,2
ANCORAIMES,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,6,6
ANDAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,3,3
ARAMPAMPA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,4,4
ARANI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,9,9
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,8,8
ASCENCION DE GUARAYOS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
ATOCHA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,7,7
AUCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,3,3
AYATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,3,3
AZURDUY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,7,7
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,10,10
BAURES,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
BELEN DE ANDAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,7,7
BOLIVAR,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,7,7
CAIROMA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,4,4
"CAIZA ""D""",atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,2,2
CAJUATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,3,3
CALACOTO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
CALAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,6,6
CAMARGO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,4,4
CAMIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,3,3
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,10,10
CARANAVI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,21,21
CARAPARI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,2,2
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,4,4
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,10,10
CHARAÑA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,15,15
CHIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
CHOQUE COTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
CHUMA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,4,4
"COLCHA ""K""",atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,6,6
COLOMI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,2,2
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,25,25
COLQUENCHA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,3,3
COLQUIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,19,19
COMANCHE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,2,2
COMARAPA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
COMBAYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,2,2
COPACABANA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,2,2
CORIPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
CORO CORO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,6,6
COROICO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,4,4
CORQUE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,3,3
COTAGAITA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,10,10
CUATRO CAÑADAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
CUEVO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,3,3
CULPINA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,7,7
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,4,4
CURVA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,4,4
DESAGUADERO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,2,2
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,2,2
EL CHORO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
EL PUENTE(STC),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
EL PUENTE(TJA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,4,4
EL TORNO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,2,2
EL VILLAR,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
ENTRE RIOS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
ENTRE RIOS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,6,6
EUCALIPTUS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,6,6
EXALTACION,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
GENERAL SAAVEDRA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
GUAQUI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,7,7
GUTIERREZ,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,7,7
HUACARETA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,3,3
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,2,2
HUANUNI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,4,4
HUAYLLAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,3,3
ICHOCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,2,2
ICLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,2,2
INCAHUASI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,23,23
INQUISIVI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,6,6
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,6,6
IXIAMAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,3,3
JESUS DE MACHACA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,7,7
LA ASUNTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,5,5
LA GUARDIA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,3,3
LAGUNILLAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,3,3
LAJA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,6,6
LAS CARRERAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,2,2
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,3,3
LLICA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,2,2
LORETO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
LURIBAY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,7,7
MACHARETI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,2,2
MAGDALENA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,4,4
MAIRANA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
MALLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,3,3
MECAPACA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,2,2
MINEROS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
MIZQUE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,5,5
MOCOMOCO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,7,7
MOJINETE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,2,2
MOJOCOYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,5,5
MONTEAGUDO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,4,4
MORO MORO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,2,2
MOROCHATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,28,28
NUEVO MANOA (NUEVA ESPERANZA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
OCURI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,15,15
OMEREQUE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,5,5
PADCAYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
PADILLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,10,10
PAMPA AULLAGAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,5,5
PAPEL PAMPA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
PATACAMAYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,5,5
PAZÑA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,3,3
PELECHUCO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,3,3
POCOATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,10,10
POJO (CBBA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
POOPO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,1,1
PORCO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,2,2
POROMA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,6,6
PORONGO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2006-01-01,3,3
