municipality,group,variable,month,"Anestesias generales, locales o regionales",TOTAL
ACHACACHI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,5,5
AIQUILE,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,15,15
ANCORAIMES,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,11,11
APOLO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,4,4
ASCENCION DE GUARAYOS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,14,14
ATOCHA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,3,3
AZURDUY,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,6,6
BAURES,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,1,1
BERMEJO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,49,49
BETANZOS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,30,30
CABEZAS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,11,11
CALAMARCA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,2,2
CAMARGO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,37,37
CAMIRI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,117,117
CARANAVI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,11,11
CHALLAPATA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,8,8
CHARAGUA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,19,19
CHIMORE,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,27,27
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,55,55
COBIJA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,68,68
COCHABAMBA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,1810,1810
COLCAPIRHUA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,27,27
COLOMI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,3,3
COLQUIRI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,5,5
COMARAPA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,1,1
CONCEPCION,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,3,3
COROICO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,12,12
COTOCA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,8,8
CULPINA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,12,12
EL ALTO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,644,644
EL TORNO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,13,13
ENTRE RIOS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,42,42
GUANAY,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,1,1
GUAYARAMERIN,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,40,40
HUACARETA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,7,7
HUACAYA (VILLA DE HUACAYA),cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,1,1
HUANUNI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,4,4
INCAHUASI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,5,5
IRUPANA (VILLA DE LANZA),cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,17,17
LA ASUNTA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,15,15
LA PAZ,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,3320,3320
LAS CARRERAS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,4,4
LLALLAGUA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,44,44
MACHARETI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,2,2
MAGDALENA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,18,18
MAIRANA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,6,6
MOJOCOYA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,1,1
MONTEAGUDO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,54,54
MONTERO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,146,146
ORURO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,300,300
PADILLA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,24,24
PALOS BLANCOS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,3,3
PATACAMAYA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,20,20
PAZÑA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,3,3
PORTACHUELO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,25,25
POTOSI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,373,373
PUERTO ACOSTA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,27,27
PUERTO CARABUCO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,1,1
PUERTO GONZALO MORENO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,1,1
PUERTO SUAREZ,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,53,53
PUERTO VILLARROEL,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,73,73
PUNATA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,72,72
QUILLACOLLO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,141,141
QUIME,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,1,1
REYES,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,10,10
RIBERALTA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,167,167
ROBORE,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,9,9
RURRENABAQUE,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,5,5
SACABA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,28,28
SAMAIPATA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,7,7
SAN BORJA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,16,16
SAN CARLOS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,6,6
SAN IGNACIO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,2,2
SAN IGNACIO DE VELASCO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,61,61
SAN JAVIER(STC),cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,3,3
SAN JOAQUIN,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,1,1
