municipality,group,variable,month,Cirugías medianas y mayores,TOTAL
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,1,1
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,15,15
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,14,14
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,cirugias medianas y mayores,2005-01-01,3,3
AZURDUY,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,2,2
BAURES,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,1,1
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,17,17
BETANZOS,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,3,3
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,37,37
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,117,117
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,11,11
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,19,19
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2005-01-01,3,3
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,68,68
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,1503,1503
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,27,27
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,1,1
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,3,3
COROICO,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,3,3
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,8,8
CULPINA,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,2,2
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,629,629
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,13,13
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,40,40
HUANUNI,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,4,4
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,3122,3122
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,44,44
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,18,18
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,6,6
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,19,19
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,146,146
ORURO,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,297,297
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,24,24
PALOS BLANCOS,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,3,3
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,25,25
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,243,243
PUERTO ACOSTA,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,22,22
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,16,16
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,3,3
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2005-01-01,25,25
