,group,variable,month,Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,vih,no de personas con prueba rapida,2018-01-01,6,40,46
ALCALA,vih,no de personas con prueba rapida,2018-01-01,2,2,4
ANCORAIMES,vih,no de personas con prueba rapida,2018-01-01,3,0,3
ARANI,vih,no de personas con prueba rapida,2018-01-01,0,2,2
ARBIETO,vih,no de personas con prueba rapida,2018-01-01,2,0,2
ARQUE,vih,no de personas con prueba rapida,2018-01-01,6,5,11
ASCENCION DE GUARAYOS,vih,no de personas con prueba rapida,2018-01-01,39,59,98
AYOPAYA (V. DE INDEPENDENCIA),vih,no de personas con prueba rapida,2018-01-01,3,12,15
AZURDUY,vih,no de personas con prueba rapida,2018-01-01,0,15,15
BELLA FLOR,vih,no de personas con prueba rapida,2018-01-01,0,1,1
BERMEJO,vih,no de personas con prueba rapida,2018-01-01,4,21,25
BETANZOS,vih,no de personas con prueba rapida,2018-01-01,0,1,1
BOYUIBE,vih,no de personas con prueba rapida,2018-01-01,1,3,4
BUENA VISTA,vih,no de personas con prueba rapida,2018-01-01,1,2,3
CABEZAS,vih,no de personas con prueba rapida,2018-01-01,8,25,33
CAJUATA,vih,no de personas con prueba rapida,2018-01-01,0,3,3
CAMARGO,vih,no de personas con prueba rapida,2018-01-01,12,31,43
CAMATAQUI (C. VILLA ABECIA),vih,no de personas con prueba rapida,2018-01-01,1,7,8
CAMIRI,vih,no de personas con prueba rapida,2018-01-01,33,10,43
CAPINOTA,vih,no de personas con prueba rapida,2018-01-01,14,14,28
CARACOLLO,vih,no de personas con prueba rapida,2018-01-01,12,12,24
CARANAVI,vih,no de personas con prueba rapida,2018-01-01,56,164,220
CARANGAS,vih,no de personas con prueba rapida,2018-01-01,1,0,1
CARAPARI,vih,no de personas con prueba rapida,2018-01-01,3,0,3
CARMEN RIVERO TORREZ,vih,no de personas con prueba rapida,2018-01-01,10,7,17
CHALLAPATA,vih,no de personas con prueba rapida,2018-01-01,14,135,149
CHARAGUA,vih,no de personas con prueba rapida,2018-01-01,0,3,3
CHAYANTA,vih,no de personas con prueba rapida,2018-01-01,1,0,1
CHIMORE,vih,no de personas con prueba rapida,2018-01-01,22,51,73
CHULUMANI (V. DE LA LIBERTAD),vih,no de personas con prueba rapida,2018-01-01,13,7,20
CHUMA,vih,no de personas con prueba rapida,2018-01-01,5,8,13
CHUQUIHUTA AYLLU JUCUMANI,vih,no de personas con prueba rapida,2018-01-01,0,4,4
CLIZA,vih,no de personas con prueba rapida,2018-01-01,6,1,7
COBIJA,vih,no de personas con prueba rapida,2018-01-01,61,19,80
COCAPATA,vih,no de personas con prueba rapida,2018-01-01,0,2,2
COCHABAMBA,vih,no de personas con prueba rapida,2018-01-01,501,785,1286
COLCAPIRHUA,vih,no de personas con prueba rapida,2018-01-01,43,55,98
COLOMI,vih,no de personas con prueba rapida,2018-01-01,1,4,5
COLPA BELGICA,vih,no de personas con prueba rapida,2018-01-01,0,2,2
COLQUIRI,vih,no de personas con prueba rapida,2018-01-01,3,0,3
COMARAPA,vih,no de personas con prueba rapida,2018-01-01,5,14,19
CONCEPCION,vih,no de personas con prueba rapida,2018-01-01,6,1,7
COROICO,vih,no de personas con prueba rapida,2018-01-01,6,1,7
CUATRO CAÑADAS,vih,no de personas con prueba rapida,2018-01-01,6,13,19
CUCHUMUELA (V. G. VILLARROEL),vih,no de personas con prueba rapida,2018-01-01,0,1,1
CUEVO,vih,no de personas con prueba rapida,2018-01-01,1,0,1
CULPINA,vih,no de personas con prueba rapida,2018-01-01,1,23,24
CURAHUARA DE CARANGAS,vih,no de personas con prueba rapida,2018-01-01,2,2,4
DESAGUADERO,vih,no de personas con prueba rapida,2018-01-01,3,5,8
EL ALTO,vih,no de personas con prueba rapida,2018-01-01,579,1369,1948
EL PUENTE(STC),vih,no de personas con prueba rapida,2018-01-01,15,9,24
EL TORNO,vih,no de personas con prueba rapida,2018-01-01,3,3,6
ENTRE RIOS TRJ,vih,no de personas con prueba rapida,2018-01-01,4,14,18
ENTRE RIOS CBBA,vih,no de personas con prueba rapida,2018-01-01,32,50,82
ESCOMA,vih,no de personas con prueba rapida,2018-01-01,3,3,6
