,group,variable,month,Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,1,1
AIQUILE,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,57,57
ALCALA,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,2,2
ALTO BENI,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,8,8
ANCORAIMES,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,6,6
ANDAMARCA,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,7,7
ARANI,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,2,2
ARBIETO,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,25,25
ARQUE,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,7,7
ASCENCION DE GUARAYOS,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,205,205
ATOCHA,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,8,8
AYOPAYA (V. DE INDEPENDENCIA),vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,32,32
AZURDUY,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,16,16
BELLA FLOR,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,14,14
BERMEJO,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,117,117
BETANZOS,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,47,47
BOLIVAR,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,4,4
BOYUIBE,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,3,3
BUENA VISTA,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,49,49
CABEZAS,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,47,47
"CAIZA ""D""",vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,13,13
CAJUATA,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,3,3
CALAMARCA,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,12,12
CAMARGO,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,28,28
CAMATAQUI (C. VILLA ABECIA),vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,6,6
CAMIRI,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,74,74
CAPINOTA,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,86,86
CARACOLLO,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,56,56
CARANAVI,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,139,139
CARAPARI,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,29,29
CARMEN RIVERO TORREZ,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,16,16
CHALLAPATA,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,129,129
CHAQUI,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,7,7
CHARAGUA,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,73,73
CHAYANTA,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,5,5
CHIMORE,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,91,91
CHIPAYA,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,1,1
CHOQUE COTA,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,1,1
CHUA COCANI,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,5,5
CHULUMANI (V. DE LA LIBERTAD),vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,43,43
CHUMA,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,12,12
CHUQUIHUTA AYLLU JUCUMANI,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,4,4
CKOCHAS,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,11,11
CLIZA,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,87,87
COBIJA,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,205,205
COCAPATA,vih,no de mujeres embarazadas con prueba rapida,2018-01-01,0,19,19
