municipality,group,variable,month,N° de Quimioprofilaxis en menores de 5 años,TOTAL
ACHACACHI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,1,1
ALALAY,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,3,3
APOLO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,2,2
BERMEJO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,4,4
CAMIRI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,1,1
CARANAVI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,2,2
COCHABAMBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,28,28
COLQUECHACA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,1,1
CORIPATA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,3,3
EL ALTO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,7,7
ENTRE RIOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,3,3
GUANAY,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,1,1
ICLA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,1,1
LA ASUNTA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,3,3
LA GUARDIA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,1,1
LA PAZ,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,8,8
MAPIRI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,2,2
MONTERO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,1,1
PORONGO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,1,1
POTOSI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,4,4
PUERTO VILLARROEL,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,2,2
QUILLACOLLO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,5,5
SACABA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,3,3
SAN BORJA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,21,21
SUCRE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,1,1
TARIJA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,1,1
TEOPONTE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,2,2
TIRAQUE (CBBA),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,2,2
TRINIDAD,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,11,11
VILLA MONTES,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,1,1
VILLA TUNARI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,3,3
VINTO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,2,2
WARNES,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,2,2
YACUIBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-01-01,7,7
ACHACACHI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,3,3
ASCENCION DE GUARAYOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,2,2
BERMEJO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,3,3
BOYUIBE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,2,2
CAMIRI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,1,1
CARANAVI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,3,3
CHIMORE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,3,3
CHUMA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,1,1
COBIJA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,1,1
COCHABAMBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,9,9
COLCAPIRHUA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,1,1
EL ALTO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,13,13
EL TORNO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,2,2
ENTRE RIOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,2,2
FERNANDEZ ALONSO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,1,1
GUANAY,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,2,2
HUANUNI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,1,1
IRUPANA (VILLA DE LANZA),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,1,1
LA GUARDIA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,3,3
LA PAZ,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,5,5
MAPIRI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,1,1
MIZQUE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,1,1
MONTERO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,3,3
PALOS BLANCOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,3,3
PUERTO RICO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,1,1
PUERTO VILLARROEL,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,12,12
PUNATA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,2,2
QUILLACOLLO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,3,3
SACABA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,4,4
SAN CARLOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,3,3
SAN JUAN DE YAPACANI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,22,22
TIPUANI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,2,2
