municipality,group,variable,month,Tratamientos iniciados con esquema ll,TOTAL
ASCENCION DE GUARAYOS,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,3,3
CHARAGUA,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,1,1
CHIMORE,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,2,2
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,1,1
COLCAPIRHUA,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,2,2
CORIPATA,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,1,1
COTAGAITA,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,1,1
CUATRO CAÑADAS,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,3,3
IRUPANA (VILLA DE LANZA),tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,11,11
MAPIRI,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,2,2
POCOATA,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,4,4
PUNA,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,1,1
RIBERALTA,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,4,4
SANTA ROSA DEL SARA,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,2,2
SANTIAGO DE CALLAPA,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,1,1
SICA SICA (VILLA AROMA),tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,2,2
SIPE SIPE,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,1,1
TARIJA,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,2,2
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,1,1
TRINIDAD,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,1,1
VILLA RIVERO,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,2,2
YACUIBA,tuberculosis,tratamientos iniciados con esquema ll,2009-01-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,1,1
BOLIVAR,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,1,1
"CAIZA ""D""",tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,3,3
CHARAGUA,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,1,1
CHIMORE,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,2,2
COMARAPA,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,1,1
COROICO,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,1,1
CUATRO CAÑADAS,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,2,2
EL TORNO,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,7,7
MECAPACA,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,1,1
MINEROS,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,3,3
ORURO,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,3,3
PUNA,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,1,1
RIBERALTA,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,1,1
SAN IGNACIO,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,15,15
SICA SICA (VILLA AROMA),tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,2,2
SUCRE,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,1,1
TARIJA,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,1,1
TIPUANI,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,2,2
TRINIDAD,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,1,1
UNCIA,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,1,1
URIONDO (A. CONCEPCION),tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,1,1
WARNES,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,1,1
YACUIBA,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,3,3
YAPACANI,tuberculosis,tratamientos iniciados con esquema ll,2009-02-01,2,2
ASCENCION DE GUARAYOS,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,1,1
