municipality,group,variable,month,N° de TB extrapulmonar nuevos,TOTAL
APOLO,tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,1,1
BERMEJO,tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,1,1
CARANAVI,tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,1,1
COCHABAMBA,tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,10,10
COLQUIRI,tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,1,1
CORIPATA,tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,1,1
CORO CORO,tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,1,1
COTOCA,tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,1,1
EL ALTO,tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,19,19
GUAYARAMERIN,tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,1,1
IRUPANA (VILLA DE LANZA),tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,1,1
LA PAZ,tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,53,53
ORURO,tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,7,7
POJO (CBBA),tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,1,1
PORONGO,tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,1,1
POTOSI,tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,1,1
PUNATA,tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,1,1
QUIME,tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,1,1
SACABA,tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,1,1
SAN JAVIER(STC),tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,1,1
SAN JOSE DE CHIQUITOS,tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,14,14
SORATA,tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,1,1
SUCRE,tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,8,8
TARIJA,tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,2,2
TUPIZA,tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,1,1
URIONDO (A. CONCEPCION),tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,1,1
YACUIBA,tuberculosis,n de tb extrapulmonar nuevos,2009-01-01,1,1
ACHACACHI,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,1,1
ACHOCALLA,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,1,1
BETANZOS,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,1,1
"CAIZA ""D""",tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,1,1
CARANAVI,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,3,3
CHARAGUA,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,1,1
COBIJA,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,1,1
COCHABAMBA,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,4,4
COLCAPIRHUA,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,1,1
COLQUECHACA,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,1,1
EL ALTO,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,8,8
GENERAL SAAVEDRA,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,1,1
LA PAZ,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,43,43
ORURO,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,4,4
POTOSI,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,2,2
PUERTO RICO,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,1,1
SACABA,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,5,5
SAN BENITO,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,1,1
SAN IGNACIO DE VELASCO,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,1,1
SAN JOSE DE CHIQUITOS,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,2,2
SAN JULIAN,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,16,16
