municipality,group,variable,month,Tratamientos iniciados con esquema lll,TOTAL
APOLO,tuberculosis,tratamientos iniciados con esquema lll,2009-01-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema lll,2009-01-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2009-01-01,2,2
COROICO,tuberculosis,tratamientos iniciados con esquema lll,2009-01-01,1,1
GUANAY,tuberculosis,tratamientos iniciados con esquema lll,2009-01-01,1,1
LA ASUNTA,tuberculosis,tratamientos iniciados con esquema lll,2009-01-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2009-01-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2009-01-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2009-01-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2009-01-01,1,1
YACUIBA,tuberculosis,tratamientos iniciados con esquema lll,2009-01-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2009-02-01,2,2
CARANAVI,tuberculosis,tratamientos iniciados con esquema lll,2009-02-01,2,2
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2009-02-01,3,3
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema lll,2009-02-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2009-02-01,1,1
PAILON,tuberculosis,tratamientos iniciados con esquema lll,2009-02-01,2,2
SACABA,tuberculosis,tratamientos iniciados con esquema lll,2009-02-01,1,1
SAN IGNACIO DE VELASCO,tuberculosis,tratamientos iniciados con esquema lll,2009-02-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2009-02-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2009-02-01,2,2
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema lll,2009-02-01,2,2
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2009-02-01,1,1
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2009-02-01,2,2
CARANAVI,tuberculosis,tratamientos iniciados con esquema lll,2009-03-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2009-03-01,2,2
"COLCHA ""K""",tuberculosis,tratamientos iniciados con esquema lll,2009-03-01,1,1
COROICO,tuberculosis,tratamientos iniciados con esquema lll,2009-03-01,1,1
MINEROS,tuberculosis,tratamientos iniciados con esquema lll,2009-03-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2009-03-01,1,1
ORURO,tuberculosis,tratamientos iniciados con esquema lll,2009-03-01,1,1
PORCO,tuberculosis,tratamientos iniciados con esquema lll,2009-03-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2009-03-01,1,1
PUNA,tuberculosis,tratamientos iniciados con esquema lll,2009-03-01,1,1
SAN IGNACIO DE VELASCO,tuberculosis,tratamientos iniciados con esquema lll,2009-03-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2009-03-01,8,8
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2009-03-01,2,2
TIPUANI,tuberculosis,tratamientos iniciados con esquema lll,2009-03-01,1,1
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema lll,2009-03-01,1,1
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema lll,2009-03-01,2,2
TOLEDO,tuberculosis,tratamientos iniciados con esquema lll,2009-03-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2009-03-01,3,3
YAPACANI,tuberculosis,tratamientos iniciados con esquema lll,2009-03-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2009-04-01,1,1
CARAPARI,tuberculosis,tratamientos iniciados con esquema lll,2009-04-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2009-04-01,3,3
COROICO,tuberculosis,tratamientos iniciados con esquema lll,2009-04-01,2,2
CUATRO CAÑADAS,tuberculosis,tratamientos iniciados con esquema lll,2009-04-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2009-04-01,1,1
EL TORNO,tuberculosis,tratamientos iniciados con esquema lll,2009-04-01,1,1
LA ASUNTA,tuberculosis,tratamientos iniciados con esquema lll,2009-04-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2009-04-01,1,1
PUERTO QUIJARRO,tuberculosis,tratamientos iniciados con esquema lll,2009-04-01,2,2
PUNATA,tuberculosis,tratamientos iniciados con esquema lll,2009-04-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2009-04-01,5,5
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2009-04-01,2,2
TARIJA,tuberculosis,tratamientos iniciados con esquema lll,2009-04-01,1,1
TRINIDAD,tuberculosis,tratamientos iniciados con esquema lll,2009-04-01,1,1
VINTO,tuberculosis,tratamientos iniciados con esquema lll,2009-04-01,1,1
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2009-04-01,1,1
YAPACANI,tuberculosis,tratamientos iniciados con esquema lll,2009-04-01,1,1
YOTALA,tuberculosis,tratamientos iniciados con esquema lll,2009-04-01,1,1
AIQUILE,tuberculosis,tratamientos iniciados con esquema lll,2009-05-01,1,1
BETANZOS,tuberculosis,tratamientos iniciados con esquema lll,2009-05-01,1,1
CABEZAS,tuberculosis,tratamientos iniciados con esquema lll,2009-05-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,tratamientos iniciados con esquema lll,2009-05-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema lll,2009-05-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2009-05-01,2,2
COROICO,tuberculosis,tratamientos iniciados con esquema lll,2009-05-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2009-05-01,3,3
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2009-05-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2009-05-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2009-05-01,3,3
SAN BORJA,tuberculosis,tratamientos iniciados con esquema lll,2009-05-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2009-05-01,4,4
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2009-05-01,2,2
TRINIDAD,tuberculosis,tratamientos iniciados con esquema lll,2009-05-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2009-05-01,3,3
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2009-06-01,1,1
IRUPANA (VILLA DE LANZA),tuberculosis,tratamientos iniciados con esquema lll,2009-06-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2009-06-01,1,1
PAILON,tuberculosis,tratamientos iniciados con esquema lll,2009-06-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema lll,2009-06-01,2,2
PUNA,tuberculosis,tratamientos iniciados con esquema lll,2009-06-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema lll,2009-06-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2009-06-01,3,3
SIPE SIPE,tuberculosis,tratamientos iniciados con esquema lll,2009-06-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2009-06-01,8,8
TRINIDAD,tuberculosis,tratamientos iniciados con esquema lll,2009-06-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2009-06-01,2,2
AIQUILE,tuberculosis,tratamientos iniciados con esquema lll,2009-07-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2009-07-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2009-07-01,2,2
LA ASUNTA,tuberculosis,tratamientos iniciados con esquema lll,2009-07-01,1,1
MINEROS,tuberculosis,tratamientos iniciados con esquema lll,2009-07-01,1,1
SAN ANDRES,tuberculosis,tratamientos iniciados con esquema lll,2009-07-01,1,1
SAN JOSE DE CHIQUITOS,tuberculosis,tratamientos iniciados con esquema lll,2009-07-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2009-07-01,13,13
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2009-07-01,5,5
TEOPONTE,tuberculosis,tratamientos iniciados con esquema lll,2009-07-01,1,1
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema lll,2009-07-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2009-07-01,3,3
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2009-07-01,2,2
COBIJA,tuberculosis,tratamientos iniciados con esquema lll,2009-08-01,7,7
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2009-08-01,4,4
GUAYARAMERIN,tuberculosis,tratamientos iniciados con esquema lll,2009-08-01,1,1
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema lll,2009-08-01,3,3
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2009-08-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2009-08-01,12,12
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2009-08-01,5,5
VILLA MONTES,tuberculosis,tratamientos iniciados con esquema lll,2009-08-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2009-08-01,1,1
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2009-08-01,2,2
YACUIBA,tuberculosis,tratamientos iniciados con esquema lll,2009-08-01,1,1
AZURDUY,tuberculosis,tratamientos iniciados con esquema lll,2009-09-01,1,1
CHALLAPATA,tuberculosis,tratamientos iniciados con esquema lll,2009-09-01,1,1
CHIMORE,tuberculosis,tratamientos iniciados con esquema lll,2009-09-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2009-09-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2009-09-01,1,1
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema lll,2009-09-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2009-09-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2009-09-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2009-09-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2009-09-01,5,5
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2009-09-01,6,6
TARIJA,tuberculosis,tratamientos iniciados con esquema lll,2009-09-01,1,1
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema lll,2009-09-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2009-09-01,1,1
YACUIBA,tuberculosis,tratamientos iniciados con esquema lll,2009-09-01,1,1
YAPACANI,tuberculosis,tratamientos iniciados con esquema lll,2009-09-01,1,1
CHIMORE,tuberculosis,tratamientos iniciados con esquema lll,2009-10-01,1,1
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema lll,2009-10-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2009-10-01,1,1
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema lll,2009-10-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2009-10-01,1,1
PUCARANI,tuberculosis,tratamientos iniciados con esquema lll,2009-10-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2009-10-01,2,2
SACABA,tuberculosis,tratamientos iniciados con esquema lll,2009-10-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2009-10-01,3,3
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2009-10-01,2,2
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema lll,2009-10-01,3,3
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2009-10-01,2,2
CARANAVI,tuberculosis,tratamientos iniciados con esquema lll,2009-11-01,2,2
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2009-11-01,5,5
COTAGAITA,tuberculosis,tratamientos iniciados con esquema lll,2009-11-01,1,1
EL TORNO,tuberculosis,tratamientos iniciados con esquema lll,2009-11-01,1,1
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema lll,2009-11-01,2,2
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema lll,2009-11-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2009-11-01,3,3
OCURI,tuberculosis,tratamientos iniciados con esquema lll,2009-11-01,1,1
PUNATA,tuberculosis,tratamientos iniciados con esquema lll,2009-11-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema lll,2009-11-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2009-11-01,7,7
SIPE SIPE,tuberculosis,tratamientos iniciados con esquema lll,2009-11-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2009-11-01,6,6
TOMINA,tuberculosis,tratamientos iniciados con esquema lll,2009-11-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,tratamientos iniciados con esquema lll,2009-12-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2009-12-01,5,5
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema lll,2009-12-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2009-12-01,1,1
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema lll,2009-12-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema lll,2009-12-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2009-12-01,1,1
SAN LORENZO(PND),tuberculosis,tratamientos iniciados con esquema lll,2009-12-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2009-12-01,2,2
SORACACHI,tuberculosis,tratamientos iniciados con esquema lll,2009-12-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2009-12-01,3,3
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema lll,2009-12-01,1,1
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema lll,2009-12-01,1,1
VILLA MONTES,tuberculosis,tratamientos iniciados con esquema lll,2009-12-01,1,1
YOTALA,tuberculosis,tratamientos iniciados con esquema lll,2009-12-01,1,1
