municipality,group,variable,month,Tratamientos iniciados con esquema l,TOTAL
ACHACACHI,tuberculosis,tratamientos iniciados con esquema l,2009-01-01,5,5
ACHOCALLA,tuberculosis,tratamientos iniciados con esquema l,2009-01-01,1,1
AIQUILE,tuberculosis,tratamientos iniciados con esquema l,2009-01-01,2,2
APOLO,tuberculosis,tratamientos iniciados con esquema l,2009-01-01,4,4
ASCENCION DE GUARAYOS,tuberculosis,tratamientos iniciados con esquema l,2009-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,tratamientos iniciados con esquema l,2009-01-01,1,1
BAURES,tuberculosis,tratamientos iniciados con esquema l,2009-01-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema l,2009-01-01,2,2
"CAIZA ""D""",tuberculosis,tratamientos iniciados con esquema l,2009-01-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema l,2009-01-01,3,3
CAPINOTA,tuberculosis,tratamientos iniciados con esquema l,2009-01-01,2,2
CAQUIAVIRI,tuberculosis,tratamientos iniciados con esquema l,2009-01-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema l,2009-01-01,16,16
CHAYANTA,tuberculosis,tratamientos iniciados con esquema l,2009-01-01,1,1
CHIMORE,tuberculosis,tratamientos iniciados con esquema l,2009-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,tratamientos iniciados con esquema l,2009-01-01,5,5
CHUMA,tuberculosis,tratamientos iniciados con esquema l,2009-01-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema l,2009-01-01,3,3
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema l,2009-01-01,33,33
COLCAPIRHUA,tuberculosis,tratamientos iniciados con esquema l,2009-01-01,1,1
COLQUECHACA,tuberculosis,tratamientos iniciados con esquema l,2009-01-01,1,1
COLQUIRI,tuberculosis,tratamientos iniciados con esquema l,2009-01-01,1,1
CORIPATA,tuberculosis,tratamientos iniciados con esquema l,2009-01-01,2,2
CORO CORO,tuberculosis,tratamientos iniciados con esquema l,2009-01-01,1,1
COTOCA,tuberculosis,tratamientos iniciados con esquema l,2009-01-01,6,6
