municipality,group,variable,month,N° de Sintomáticos Respiratorios,TOTAL
ACACIO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
ACHACACHI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,28,28
ACHOCALLA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,4,4
AIQUILE,tuberculosis,n de sintomaticos respiratorios,2009-01-01,14,14
ALALAY,tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
ALCALA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
ANCORAIMES,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
ANDAMARCA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
ANTEQUERA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
ANZALDO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,5,5
APOLO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,14,14
ARAMPAMPA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
ARANI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,5,5
ARQUE,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
ASCENCION DE GUARAYOS,tuberculosis,n de sintomaticos respiratorios,2009-01-01,11,11
ATOCHA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
AYATA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,4,4
AYO AYO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,n de sintomaticos respiratorios,2009-01-01,7,7
AZURDUY,tuberculosis,n de sintomaticos respiratorios,2009-01-01,4,4
BATALLAS,tuberculosis,n de sintomaticos respiratorios,2009-01-01,8,8
BAURES,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
BERMEJO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,40,40
BETANZOS,tuberculosis,n de sintomaticos respiratorios,2009-01-01,14,14
BOLIVAR,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
BUENA VISTA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,7,7
CABEZAS,tuberculosis,n de sintomaticos respiratorios,2009-01-01,9,9
CAIROMA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
"CAIZA ""D""",tuberculosis,n de sintomaticos respiratorios,2009-01-01,10,10
CAJUATA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,4,4
CALACOTO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
CAMARGO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,5,5
CAMATAQUI (C. VILLA ABECIA),tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
CAMIRI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,17,17
CAPINOTA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,9,9
CAQUIAVIRI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
CARACOLLO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,5,5
CARANAVI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,96,96
CARAPARI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,9,9
CARIPUYO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
CARMEN RIVERO TORREZ,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
CHALLAPATA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,11,11
CHARAGUA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,18,18
CHAYANTA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,7,7
CHIMORE,tuberculosis,n de sintomaticos respiratorios,2009-01-01,11,11
CHIPAYA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
CHOQUE COTA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de sintomaticos respiratorios,2009-01-01,29,29
CHUMA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,7,7
CLIZA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,13,13
COBIJA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,61,61
COCHABAMBA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,259,259
COLCAPIRHUA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,33,33
COLLANA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
COLOMI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,9,9
COLPA BELGICA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,11,11
COLQUECHACA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,18,18
COLQUENCHA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
COLQUIRI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,11,11
COMARAPA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,5,5
COMBAYA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
CONCEPCION,tuberculosis,n de sintomaticos respiratorios,2009-01-01,10,10
COPACABANA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
CORIPATA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,6,6
CORO CORO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
COROICO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,36,36
CORQUE,tuberculosis,n de sintomaticos respiratorios,2009-01-01,6,6
COTAGAITA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,20,20
COTOCA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,41,41
CUATRO CAÑADAS,tuberculosis,n de sintomaticos respiratorios,2009-01-01,29,29
CUEVO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,4,4
CULPINA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,13,13
CURAHUARA DE CARANGAS,tuberculosis,n de sintomaticos respiratorios,2009-01-01,4,4
DESAGUADERO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,6,6
EL ALTO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,514,514
EL CHORO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
EL PUENTE(STC),tuberculosis,n de sintomaticos respiratorios,2009-01-01,4,4
EL PUENTE(TJA),tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
EL TORNO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,76,76
ENTRE RIOS,tuberculosis,n de sintomaticos respiratorios,2009-01-01,30,30
ENTRE RIOS,tuberculosis,n de sintomaticos respiratorios,2009-01-01,22,22
EUCALIPTUS,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
FERNANDEZ ALONSO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,5,5
FILADELFIA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
GENERAL SAAVEDRA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,9,9
GUANAY,tuberculosis,n de sintomaticos respiratorios,2009-01-01,25,25
GUAQUI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
GUAYARAMERIN,tuberculosis,n de sintomaticos respiratorios,2009-01-01,36,36
GUTIERREZ,tuberculosis,n de sintomaticos respiratorios,2009-01-01,12,12
HUACARETA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
HUACAYA (VILLA DE HUACAYA),tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
HUANUNI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,9,9
HUARACAJE,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
HUAYLLAMARCA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,5,5
ICHOCA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
ICLA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,6,6
INCAHUASI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,19,19
INQUISIVI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,5,5
IRUPANA (VILLA DE LANZA),tuberculosis,n de sintomaticos respiratorios,2009-01-01,13,13
IXIAMAS,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
JESUS DE MACHACA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,8,8
LA ASUNTA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,43,43
LA GUARDIA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,60,60
LA PAZ,tuberculosis,n de sintomaticos respiratorios,2009-01-01,552,552
LAGUNILLAS,tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
LAJA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,9,9
LICOMA PAMPA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
LLALLAGUA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,23,23
LURIBAY,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
MACHACAMARCA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
