municipality,group,variable,month,N° de TBP BAAR (-) nuevos,TOTAL
APOLO,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,1,1
CABEZAS,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,3,3
"CAIZA ""D""",tuberculosis,n de tbp baar (-) nuevos,2009-01-01,9,9
CAMIRI,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,3,3
CHARAGUA,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,16,16
CHIPAYA,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,1,1
COBIJA,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,6,6
COCHABAMBA,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,9,9
COMARAPA,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,4,4
COTOCA,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,1,1
EL ALTO,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,1,1
IRUPANA (VILLA DE LANZA),tuberculosis,n de tbp baar (-) nuevos,2009-01-01,1,1
LA ASUNTA,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,2,2
LA GUARDIA,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,1,1
LA PAZ,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,14,14
MAPIRI,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,2,2
MONTERO,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,1,1
ORURO,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,2,2
PALOS BLANCOS,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,1,1
PORCO,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,12,12
POTOSI,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,4,4
PRESTO,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,1,1
RIBERALTA,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,2,2
SACABA,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,1,1
SAN BORJA,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,1,1
SAN JAVIER(STC),tuberculosis,n de tbp baar (-) nuevos,2009-01-01,7,7
SAN JUAN DE YAPACANI,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,6,6
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,71,71
SUCRE,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,3,3
TRINIDAD,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,1,1
YACUIBA,tuberculosis,n de tbp baar (-) nuevos,2009-01-01,3,3
ANDAMARCA,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,1,1
BAURES,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,1,1
CABEZAS,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,1,1
"CAIZA ""D""",tuberculosis,n de tbp baar (-) nuevos,2009-02-01,3,3
CAMIRI,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,1,1
CHARAGUA,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,17,17
COCHABAMBA,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,1,1
COMARAPA,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,4,4
EL ALTO,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,3,3
EL PUENTE(STC),tuberculosis,n de tbp baar (-) nuevos,2009-02-01,2,2
ENTRE RIOS,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,1,1
GENERAL SAAVEDRA,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis,n de tbp baar (-) nuevos,2009-02-01,1,1
LA ASUNTA,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,1,1
LA GUARDIA,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,3,3
LA PAZ,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,12,12
MONTERO,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,1,1
ORURO,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,3,3
PALOS BLANCOS,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,1,1
PORCO,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,2,2
POTOSI,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,2,2
PRESTO,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,1,1
SAN BORJA,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,1,1
SAN CARLOS,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,1,1
SAN JUAN DE YAPACANI,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,4,4
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,57,57
SUCRE,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,2,2
TIRAQUE (CBBA),tuberculosis,n de tbp baar (-) nuevos,2009-02-01,1,1
TORO TORO,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,3,3
VILLA MONTES,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,1,1
VILLA NUEVA (LOMA ALTA),tuberculosis,n de tbp baar (-) nuevos,2009-02-01,1,1
VILLA SERRANO,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,1,1
VILLA TUNARI,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,1,1
YACUIBA,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,2,2
YAPACANI,tuberculosis,n de tbp baar (-) nuevos,2009-02-01,2,2
BATALLAS,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,1,1
"CAIZA ""D""",tuberculosis,n de tbp baar (-) nuevos,2009-03-01,5,5
CAMIRI,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,3,3
CHARAGUA,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,11,11
CHUMA,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,1,1
COCHABAMBA,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,3,3
"COLCHA ""K""",tuberculosis,n de tbp baar (-) nuevos,2009-03-01,1,1
COLQUECHACA,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,1,1
COMARAPA,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,18,18
EL ALTO,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,3,3
GUAYARAMERIN,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,1,1
IRUPANA (VILLA DE LANZA),tuberculosis,n de tbp baar (-) nuevos,2009-03-01,1,1
LA GUARDIA,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,1,1
LA PAZ,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,14,14
MONTERO,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,1,1
ORURO,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,1,1
PATACAMAYA,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,1,1
PORCO,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,2,2
POTOSI,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,4,4
PRESTO,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,2,2
QUILLACOLLO,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,1,1
SAN JAVIER(BNI),tuberculosis,n de tbp baar (-) nuevos,2009-03-01,1,1
SAN JAVIER(STC),tuberculosis,n de tbp baar (-) nuevos,2009-03-01,1,1
SAN JULIAN,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,3,3
SAN MATIAS,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,37,37
SANTA ROSA DEL SARA,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,15,15
SUCRE,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,3,3
TARIJA,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,2,2
TIRAQUE (CBBA),tuberculosis,n de tbp baar (-) nuevos,2009-03-01,4,4
TOLEDO,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,1,1
TUPIZA,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,2,2
VILLA TUNARI,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,4,4
VINTO,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,1,1
WARNES,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,1,1
YUNCHARA,tuberculosis,n de tbp baar (-) nuevos,2009-03-01,2,2
BERMEJO,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,1,1
"CAIZA ""D""",tuberculosis,n de tbp baar (-) nuevos,2009-04-01,1,1
CHARAGUA,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,17,17
COBIJA,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,2,2
COCHABAMBA,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,2,2
COMARAPA,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,9,9
CUATRO CAÑADAS,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,2,2
EL ALTO,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,2,2
EL VILLAR,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,2,2
GENERAL SAAVEDRA,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,3,3
LA ASUNTA,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,2,2
LA GUARDIA,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,2,2
LA PAZ,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,9,9
PADCAYA,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,1,1
PATACAMAYA,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,1,1
PORCO,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,2,2
PRESTO,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,5,5
PUERTO RICO,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,1,1
RIBERALTA,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,3,3
SAN BORJA,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,1,1
SAN JAVIER(STC),tuberculosis,n de tbp baar (-) nuevos,2009-04-01,18,18
SAN JUAN DE YAPACANI,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,2,2
SAN JULIAN,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,1,1
SAN LORENZO(TJA),tuberculosis,n de tbp baar (-) nuevos,2009-04-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,43,43
SOPACHUY,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,1,1
SORATA,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,1,1
SUCRE,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,2,2
TIRAQUE (CBBA),tuberculosis,n de tbp baar (-) nuevos,2009-04-01,1,1
TRINIDAD,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,7,7
VILLA TUNARI,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,2,2
VINTO,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,1,1
WARNES,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,2,2
YAPACANI,tuberculosis,n de tbp baar (-) nuevos,2009-04-01,1,1
AIQUILE,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,1,1
BETANZOS,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,1,1
CHARAGUA,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,11,11
COBIJA,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,1,1
COCHABAMBA,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,1,1
CONCEPCION,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,22,22
EL ALTO,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,6,6
EL VILLAR,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,2,2
FERNANDEZ ALONSO,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,1,1
LA GUARDIA,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,1,1
LA PAZ,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,15,15
LLALLAGUA,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,1,1
ORURO,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,3,3
PORCO,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,6,6
POTOSI,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,1,1
PRESTO,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,1,1
PUCARANI,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,1,1
QUILLACOLLO,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,1,1
RIBERALTA,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,3,3
ROBORE,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,1,1
