,group,variable,month,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS < 15,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 15 - 19,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 20 - 34,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 35 - 49,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2021-01-01,0,0,0,1,6,7
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2021-01-01,0,0,0,1,2,3
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2021-01-01,0,0,7,3,0,10
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2021-01-01,0,0,0,4,2,6
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2021-01-01,0,0,0,1,0,1
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2021-01-01,0,0,1,0,0,1
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2021-01-01,0,0,1,0,0,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2021-01-01,0,10,0,0,0,10
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2021-01-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2021-02-01,0,0,0,1,2,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2021-02-01,0,0,1,0,0,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2021-02-01,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2021-02-01,0,0,1,3,1,5
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2021-02-01,0,0,34,0,0,34
CARACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2021-03-01,0,0,1,0,0,1
CHAYANTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2021-03-01,0,1,2,0,0,3
