,group,variable,month,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO < 15,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 15 - 19,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 20 - 34,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 35 - 49,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2021-01-01,0,2,3,0,0,5
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2021-01-01,0,0,4,2,0,6
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2021-02-01,0,1,3,0,0,4
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2021-02-01,0,0,7,2,0,9
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2021-03-01,0,2,22,7,0,31
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2021-03-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2021-03-01,0,0,9,0,0,9
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2021-03-01,0,2,10,2,0,14
CKOCHAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2021-04-01,0,0,0,1,0,1
COTAGAITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2021-04-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2021-04-01,0,5,20,8,0,33
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2021-04-01,0,0,0,1,0,1
UNCIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2021-04-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2021-05-01,0,2,20,6,0,28
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2021-05-01,0,0,1,2,0,3
