,group,variable,month,PÍLDORA: USUARIAS NUEVAS < 15,PÍLDORA: USUARIAS NUEVAS 15 - 19,PÍLDORA: USUARIAS NUEVAS 20 - 34,PÍLDORA: USUARIAS NUEVAS 35 - 49,PÍLDORA: USUARIAS NUEVAS 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
ACACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2021-01-01,0,0,2,0,0,2
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2021-01-01,0,1,0,0,0,1
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2021-01-01,0,2,3,0,0,5
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2021-01-01,0,0,1,0,0,1
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2021-01-01,0,0,1,0,0,1
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2021-01-01,0,0,3,1,0,4
ANCORAIMES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2021-01-01,0,1,0,0,0,1
ANDAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2021-01-01,0,1,0,0,0,1
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2021-01-01,0,0,2,1,0,3
ARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2021-01-01,0,0,1,0,0,1
ARBIETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2021-01-01,0,0,5,3,0,8
ARQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2021-01-01,0,1,1,0,0,2
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2021-01-01,0,2,5,0,0,7
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2021-01-01,0,2,12,3,0,17
AUCAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2021-01-01,0,0,2,0,0,2
AYATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2021-01-01,0,0,1,0,0,1
AYO AYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2021-01-01,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2021-01-01,0,0,6,0,0,6
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2021-01-01,0,0,2,1,0,3
BATALLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2021-01-01,0,0,0,1,0,1
