,group,variable,month,ABANDONO DE MÉTODO ANTICONCEPTIVO < 15,ABANDONO DE MÉTODO ANTICONCEPTIVO 15 - 19,ABANDONO DE MÉTODO ANTICONCEPTIVO 20 - 34,ABANDONO DE MÉTODO ANTICONCEPTIVO 35 - 49,ABANDONO DE MÉTODO ANTICONCEPTIVO 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2021-01-01,0.0,0.0,1.0,1.0,0.0,2.0
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2021-01-01,0.0,0.0,1.0,0.0,0.0,1.0
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2021-03-01,0.0,0.0,2.0,0.0,0.0,2.0
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2021-03-01,0.0,0.0,2.0,0.0,0.0,2.0
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2021-03-01,0.0,0.0,2.0,0.0,0.0,2.0
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2021-03-01,0.0,0.0,0.0,2.0,0.0,2.0
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2021-04-01,0.0,1.0,3.0,1.0,0.0,5.0
CKOCHAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2021-04-01,0.0,0.0,0.0,2.0,0.0,2.0
"COLCHA ""K""","anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2021-04-01,0.0,0.0,1.0,0.0,0.0,1.0
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2021-04-01,0.0,1.0,9.0,0.0,0.0,10.0
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2021-04-01,0.0,0.0,3.0,0.0,0.0,3.0
PUNA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2021-04-01,0.0,1.0,0.0,0.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2021-04-01,0.0,0.0,2.0,0.0,0.0,2.0
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2021-04-01,0.0,1.0,1.0,0.0,0.0,2.0
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2021-04-01,6.0,2.0,2.0,0.0,0.0,10.0
UNCIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2021-04-01,0.0,0.0,1.0,0.0,0.0,1.0
