,group,variable,month,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO < 15,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO 15 - 19,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO 20 - 34,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO 35 - 49,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2021-01-01,0,0,1,0,0,1
SAN JAVIER(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2021-01-01,0,2,1,1,0,4
SAN JULIAN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2021-02-01,0,4,0,0,0,4
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2021-02-01,0,3,3,0,0,6
PATACAMAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2021-03-01,0,0,3,0,0,3
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2021-03-01,0,0,2,0,0,2
SAN JAVIER(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2021-03-01,0,3,10,0,0,13
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2021-03-01,0,0,37,1,0,38
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2021-03-01,0,0,2,2,0,4
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2021-04-01,0,2,26,5,0,33
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2021-04-01,0,2,17,3,0,22
SAN JAVIER(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2021-04-01,0,1,1,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2021-04-01,0,3,33,7,0,43
UNCIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2021-04-01,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2021-05-01,0,0,2,0,0,2
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2021-05-01,0,2,6,2,0,10
