,group,variable,month,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS TRATADAS < 15,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS TRATADAS 15 - 19,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS TRATADAS 20 - 34,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS TRATADAS 35 - 49,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS TRATADAS 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos tratadas,2021-01-01,0,7,72,46,9,134
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos tratadas,2021-01-01,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos tratadas,2021-01-01,0,0,2,0,1,3
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos tratadas,2021-01-01,0,0,1,0,0,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos tratadas,2021-01-01,0,0,8,6,2,16
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos tratadas,2021-01-01,0,0,0,0,1,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos tratadas,2021-01-01,0,0,1,0,2,3
SAN ANTONIO DE ESMORUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos tratadas,2021-01-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos tratadas,2021-01-01,0,0,14,8,1,23
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos tratadas,2021-01-01,0,0,1,2,0,3
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos tratadas,2021-01-01,0,0,0,1,3,4
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos tratadas,2021-02-01,1,0,1,0,0,2
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos tratadas,2021-02-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos tratadas,2021-02-01,0,1,47,45,6,99
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos tratadas,2021-02-01,0,0,1,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos tratadas,2021-02-01,0,0,3,1,1,5
