,group,variable,month,AQV MASCULINO < 15,AQV MASCULINO 15 - 19,AQV MASCULINO 20 - 34,AQV MASCULINO 35 - 49,AQV MASCULINO 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-01-01,0,0,4,1,0,5
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-01-01,0,0,0,1,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-01-01,0,0,0,7,0,7
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-01-01,0,0,0,1,0,1
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-01-01,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-01-01,0,0,0,2,0,2
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-01-01,0,0,0,1,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-02-01,0,0,5,9,0,14
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-02-01,0,0,0,4,0,4
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-02-01,0,0,4,5,0,9
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-02-01,0,0,0,3,0,3
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-02-01,0,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-02-01,0,0,4,8,0,12
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-02-01,0,0,0,2,0,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-03-01,0,0,2,5,0,7
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-03-01,0,0,1,4,1,6
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-03-01,0,0,0,6,0,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-03-01,0,1,5,6,1,13
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-03-01,0,0,2,2,0,4
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-04-01,0,0,4,3,0,7
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-04-01,0,0,2,1,0,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-04-01,0,0,0,2,0,2
