,group,variable,month,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,4,4,7,10,25
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,4,2,2,0,8
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,2,5,5,15
AIQUILE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,1,0,0,2
ALALAY,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,0,1,0,1
ALTO BENI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,1,0,0,1
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,2,1,2,6
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,1,1,3
ANZALDO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,2,0,0,2
APOLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,5,4,22,8,39
ARAMPAMPA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,6,15,9,32
ARANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,2,0,0,3
ARBIETO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,5,4,7,14,30
ARQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,0,0,1,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,7,12,1,1,21
ATOCHA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,3,0,0,5
AUCAPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,1,0,0,2
AYATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,2,3,2,9
AYO AYO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,4,0,1,8
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,4,2,18,20,44
AZURDUY,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,0,0,1,1
BATALLAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,2,0,3,7
BAURES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,0,0,1
BELEN DE ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,0,1,2,3
BELLA FLOR,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,0,2,3,5
BERMEJO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,1,0,0,3
BETANZOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,14,17,47,39,117
BOLIVAR,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,1,0,1,2
BOYUIBE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,0,0,1,1
