,group,variable,month,ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
BETANZOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,1,0,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,0,1,3,4,8
CAMIRI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,1,1,0,0,2
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,1,3,0,0,4
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,0,0,11,17,28
CHIMORE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,0,0,0,2,2
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,1,0,0,0,1
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,3,2,0,0,5
COBIJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,1,1,0,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,7,10,1,1,19
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,0,0,1,0,1
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,0,0,0,1,1
COLLANA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,1,0,0,0,1
COTAGAITA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,1,0,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,2,1,0,0,3
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,16,11,2,3,32
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,0,0,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,1,1,0,0,2
HUAYLLAMARCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,0,1,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,1,0,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,1,1,0,0,2
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,5,10,10,14,39
LAGUNILLAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,0,1,0,0,1
LAJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,0,0,1,2,3
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,0,0,1,1,2
LORETO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,1,1,0,0,2
MINEROS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,0,0,1,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,1,0,0,1,2
ORURO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,4,7,1,3,15
PAILON,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,2,2,7,4,15
PALCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,1,1,3,5,10
POTOSI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,1,1,0,2,4
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2016-01-01,0,1,0,0,1
